source_pdf,transliteration,translation
AKT 6c.pdf,um-ma A -sur-sa-d[z./ -e] A-mu-ur-sa-ra-sa it Sa-lim-wa-ar-dim-[ ma] a-na A-lri-hi-im qi-bi[ -ma] ma-na AN.NA [ ku-n ]u-ki-ka Sa-lim-wa-ar-[ di] rub- 1-lri-ram 1 a-na ma-la ti-ir-ti-ka AN.NA a-na A -mu-ur-sa-ra-sa it Sa-lim-wa-ar-dim ni-di-ma a-na li-bi ma-tim u-se-ri-bu-ma r61 1/2 GiN TA a-na an-ni-ki-ka ub-lu-ni-kum SA.BA 3 1/2 GiN .~a-du-a-trim ni-di 4 2/3 ma-na 2 l/2 GiN KB ku-nu-ki-ni Sa-lim-wa-ar-/dim na-ris-a-ku-um 1 GiN KB a-na qri-ti-su ni-di-in a-na su-mi Su-dEN.rLfL1 sa ni-is-pu-ra-ku-ni ma-na KB Su-dEN .LiL DUMU Ma-nu-ki-A-sur e-pu-ul-n[i-a-ti] is-til Sa-lim-wa-ar-dim i-li-ka-ni Su-ctEN.[LiL] lri-.~u a-su-mi-su Sa-lim-wa-[ar-dim] nu-sri-as-hi-ir-.n u] i-na a-lri-ak [Su-dEN.LfL ti-ir-tam] za-ku-trim ni-sa-pri-ra-kum,"From Assur-sadil'e, Amur-sarrassa and Salim-wardi to Ali-ahum: Su-Illil Salim-wardi brought 31 minas of tin un- der your seal. In accordance with your instructions we gave the tin to Amur-sarrassa and Salim- wardi and they led it into the heartland, and they brought you (silver) at 6 V2 shekels per (shekel) for your tin for you. transport tariff. Salim-wardi brings you 4 2/3 minas 2 V2 shekels of silver under our seals. We gave 1 shekel of silver for his disposal. With respect to Su-Illil about whom we wrote to you, Su-lllil son ofMannum-ki- Assur promised 3 minas of silver to us. After Salim-wardi came Su-Illil was gone. Because of him we made Salim-wardi wait 10 or 20 days. When Su-Illil arrives we shall send a fi- nal report to you. I.e."
AKT 6c.pdf,"a-na A-ld-hi-im qi-bi-ma um-ma A -mu-ur-r,5a-ra-su 1 a-[ma]-la A-sur-ctUTU-si ru Da1-da-a r is 1-pu-ru-ni-ku-ni a-na-kam a-na-ku Ia x[ x n ]i-ma is-p[ u-ru ]-ni-ku-um a-ma-la a-we-lu is-pu-ru-ni-ku-ni su-ma: a-wa-tum ti-ir-ta-ka : li-li-kam-ma a-wi-lam : KB lu nu-sa-as-qi-ils [is]-ti a-li-ki-im pa-ni-e-ma : i-hi-id-ma ti-ir-ta-ka li-li-kam a-na ka-la KB la-qa-im : u-za-ka ta i-ba-si KuJ ra 1[x x x] r la 1 i-sa-qal a-[x x x x x ]-mi-ka Su-Illil The Istar-lamassi dossier","To Ali-ahum from Amur-sarrassu and from Su-Illil: In accordance with what Assur-samsi and Dadaya wrote to you I and Su-Illil here ... and they have written to you. In accordance with what the men wrote to you, if there is a case, then send me word so we may have the man pay the silver. Pay attention and send me word with the first transport. Do not focus on taking all of the silver."
AKT 6c.pdf,"um-ma A -la-hu-um-ma a-na Su-!§tar it !§tar-lci-ma-lsi qi-bi-ma ,§u-ma u-ta-tum is-tit Tii-ma-li-a e-ru-ba-am 2 As u-ta-tam a-na am-ti-su sa A-mur'-l§tar di-na-a i-na na-ru-q i-im ka-an-ka-a Ha-su-i u Na-ki-le-ed na-cis-tl-ni-kum","From Ali-ahum to Su-IStar and IStar- lamassi:  If the grain has arrived from Tumliya, give 2 30-litre measures of grain to Amur-IStar's maid. ... are sealed in a sack. Hassui and Nakiled are bringing it to you."
AKT 6c.pdf,a-na En-na-Su-/in qi-bi-ma: um-ma !§tar-la-ma-si-ma ta-as-li-a-ni-/ma r Hu 1-du-be-li ta-t£t-ru u a-hu-k[a] r a-ta-zi-ma 1 ra.s fa l i-na,"To Enna-Suen from IStar-lamassT: You implored me in order to return Hu- du-beli ... Also, your brother ... rev. I.e."
AKT 6c.pdf,"r um-ma 1 [ Su- ]lstar-ma a-na Zi- r zi 1-zi-i : u Btar-la-ma-si qi-bi4-ma r1 o') GIN1 AN.NA A-nu-pi-a na-[as]-a-ku-nu-ti um-mi a-ti e-la-nu-ki ma-ma-an Ia i-.~u .~u-uh-ra-am r/ti tu 1-me-si: a-~'e-er x- x u -nu-p1-a [xx]ga rx 1[-z]i-ik [x DUG a]r-sa-tim [l]i-di-na-ki-NV -ti u-di a-na-ma a-na-kam u-sa-hi-[su] u a-ti a-wa-tim :sa nu-a-im 3 GIN KB sa e-zi-bu KB lu a-na-ku r as1-qullu A -bu-sa-1/im is-qul ti-ir-ta-ku-nu li-li-kam one"", but the sign-rests do not support such a reading.","From Su-IStar to Zizizi and TStar-lamassT: Anupiya brings you I 0 shekels of tin. My dear mother, without you I have noone. Do not let the children starve. ... to ... and Anupiya He should give you ... a jar of wheat. Certainly, in this way I instructed him here and as for you, in the matter of the Anatolian, send me word about the 3 shekels of silver that I left, whether I myself paid the silver or whether Abu- salim paid it."
AKT 6c.pdf,[ u ]m-ma Su-ku-tum-ma a-na !Star-la-ma-s[£] it N z! -ta-ah-su-.§ar .§a ta-as-pu-ra-ni-ni um-ma a-ti-na-rna E-tum a-na Ia be-tim i- r tit-ar 1 a-pu-tum a-n[a En ]-um-A-sitr i-[x X ]-ni-ma e sf-Ina Ia ta-ha'-di-ri a-na !Star-la-ma-s[£] qi-bi4-ma su-ma a-ha-ti a-ta li-ba-am di-ni-si-im la ta-ha-da-ar a-na Ni-ta-ah-su-sar qi-b[irma] TUG pi-ri-ka-ni s[a] re 1-zi-bu: na-[pi-]H-rsu 1-nu it tup-pu-u lu .~a-r.~u pi-ri-ka-nu sa Ma-r ti1 it Ti-bu-la ;r ma-a-x 1 is-ta-u-mu-ni [ a-di] En-urn-A -.~itr i-la-ka-ni a-ma-ma-/an !a tit-se-ri [x] GIN KB dUTU-tap-pa-i [ub- ]la-ki-im 1 GIN GUSKIN r it 1 [x] GIN KB 1-ku-pi-a ub-la-ki-im,"From Sukkuturn to IStar-lamasst and Nitahsusar: Why is that you (fern. plur.) have written me, saymg: ""The house is no longer a house."" Urgent, to Ennam-Assur Do not fear!. To NitahSusar: Air the pirikannu-textiles that I left. Also, the tablets should be guarded. The pirikannus which Mati'1 and Tibula ... have bought do not release (them) to anyone before Ennam-Assur arrives. I.e. Sarnas-tappa'I brought you x shekels of silver. lkiin-piya brought you 1 shekel of gold and x shekels of silver."
AKT 6c.pdf,GIN KB A -gi-a na-as-a-ki-/im na-{ic~-a-ki-im a-na Btar-la-ma-si qi-birma .§i-im pi-ri-ka-ni i.§-ti .yu-ha-!r/ -ku-nu IStar-lamassi,Agia brings you (fern.) 3 shekels of sil- ver. Puzur-Assur brings you (fem.) 3 shekels  of silver. To IStar-lamassi: The proceeds from the pirikannus (will come) with your servant.
AKT 6c.pdf,"um-ma A-§ur-dUTU-si u Da-da-a-rna a-na A-16-hi-im : qi-bi-ma I ma-na KB : ku-nu-ki-ni Ili5-we-da-ak : na-(i~-a-kum I 0 GiN : hu-sa-ru-um SIG5 wa-at-ra-am le-qe-a-am §i-tf KB :sa-am-tum mi-i§-fitm : ka-bu-tum mi-L5-ftlm : a-ra-ak-tum lu ra-bira-at ku-nu-uk-ma a-na : Ili5-we-da-ak di-in-ma i.C;J tf1 z- e- e pa-m-ma [tur4]-da-,§u : a-we-e!","From Assur-samsi and Dadaya to Ali- ahum: 111-wedaku brings you l mina of silver under our seals. Take 10 shekels of extra- fine lapis lazuli for me. For the rest of the silver seal carnelian, half of it heavy, half long- it should be big! - and give it to Tli-wedaku and send him with the first travellers. We are men who can do favours."
AKT 6c.pdf,"um-ma A -mu< -ur> -,C;a-ra[ -sa-ma] a-na-kam A-gu5-a : Tit-[ ... ] u Su-hu-ur-pi-a A-sur-i-mi-ti DUMU 1-[ku-pi-JStar] assic_bu-tit-ni-ma um-ma .~u-nu-ma t[a ... ] A -.~ur-i-mi-ti a-[ na] A -Ja-hi-im [ ... ] ki-ma : Ia [ ... ] a-ni : {u[p-... ] ra-ma-k[ a ... ] um-ma A-su[r-i-mi-ti] u iR A-sur-[i-mi-ti-ma] a-na-ku a-l'va-[stl-nu] a-ta-na-pa-al [ .. i.§-ti] pa-ni-e-ma: ti-[ir-ta-ka] li-li-kam-ma [ ... ] am' -ti : u a-~e-er [ ... ] su-up-ra-ma: su-[ ... ] zs-tz-a : z-na r- .. . IR-dam : i-pa-rx 1 [ ... ] aJna1 ti-ir-ti-[a] na-hi-id [ ... ] is-ti Se-ep-[JStar] [za ]-ku-sa .~u-up-ra-/am la u-pa-ru-du-ni","Here Aguwa, Tu ... and Suhurpiya have seized Assur-imitti son of Ikun-pi-IStar and they said: "" ... Assur-imitti to Ali-ahum Assur-imitti and Assur-imitti's slave an- rev. swered:  ""I personally keep answering their words. Send word as soon as possible, and and write to ... the slave ... instruct (him) about my orders."" Write a final report with Sep-IStar, so I.e. they do not frighten (anyone)."
AKT 6c.pdf,a-na A -Ia[ -hi-im],To Ali-ahum; seal of Amur-sarrassa.
AKT 6c.pdf,a-na A -IG-hi-im u A-ni-na qi-bi-ma um-ma A -sitr-ma-lik-ma 2/3 ma-na KUG ku-nu-ki-a U-~ur-sa-A-sitr DUMU A-ta-ta na-as-a-ku-nu-ti KB a-di a-la-ka-lni a-sar A-!G-hi-im li-ib-si,To Ali-ahum and Annina from Assur- malik: U~ur-sa-Assur son of Atata brings you 8 2/3 minas of silver under my seal. The silver should remain with Ali-ahum until I arrive.
AKT 6c.pdf,"um-ma Su-Hu-bu-ur-ma it Ha-nu-ma a-na A-la-hi-im qi-birma a-su-mi sa A-lu-16-a sa ta-as-pu-ru-ni a-na-kam ni-.~i-ba-su-ma wn-ma mi-nu-ma KB su-qu-ul um-ma su-ut-ma KB wa-di u-te-biril5-,5u-um wa-biri/5 KB-/pi-im Bur-Sit-in u A-la-bu-um a-hu-su um-ma su-ut-ma .5u-nu ub-lu-su-ma KB a-.5u-mi sa Su-ku-tim a-na-kam Su-ka-tam ni-i.~-ha-at um-ma m!-nu-ma KB .~u-qtl-ul r sa 1 e-ma-ra-am E DAM.GAR-ri-im ni-si-a-ku-ma tup-pi-ni ha-ar-mi-im KB tl .~i-ba-su im-ti-id um-ma su-ut-ma i.5-ti a-hi-a en-na-ma KB u-se-ba-al a-na-kam A-zu ni-i.~-ba-at-rna um-ma m?-nu-rna KB su-qll-ul urn-rna su-ut-ma ha-ab ha-ra-ni-kcl I Su-ka-tcim:) -rna KB a-sa-qci-al-ma u-se-ba-al-ma .§a ki-ma i-<a>-tf i-sa-qu-lu-.~u-um i-re-es 15 tup-pi-a i-sa-qll-lu-su-um","From Su-Hubur and Hanu to Ali-ahum: Concerning the matter of Alulaya that you wrote about, we seized him here and said: ""Pay the silver!'' He answered: ""But I have sent him the silver. Those who carried the silver were Bur-Suen and his brother Ali-abum."" He continued: ""It was those who brought it to him,"" and as the silver was (sent) in 1 0  the name of Sukkutum, we seized Sukku- tum here and said: ""Pay the silver for the of a merchant, and for which the silver rev. and interest has grown heavy on our cer- tified tablet."" He answered: ""Ask a favour from my brother, that he should send me silver."" We seized Azu here and said: ""Pay the silver!"" He answered: ""When you are about to leave I shall pay the silver for(?) Sukkutum and send it and my representa- tives can then pay him. I.e. They shall pay it to him according to my tablet."
AKT 6c.pdf,"a-na A-la-hi-im qi-bi4-ma um-ma Ha-nu-ma a-ma-la ti-ir-ti-ka Su-Hu-bu-ur it a-na-ku ni-zi-iz-ma A -lu-lc/ -a ni-is-ba-lat-ma um-ma mi-nu-ma KB il .~f-ba-ti-.§u .§u-qLi-ul um-ma A -!u-ti/ -a-ma KB i/;-tit ITI.l.KAM Bur-Su-in Li-.§e-bi4-il5-su-um a-di ta-ah-si-is-tim .~a hl-sa-hi-zi-ni A-lu-ta·'-a a-as-al-.§u-ma um-ma su-ut-ma La-qe-pu-um DUMU Su-A _r.~ur 1 u-ka-al-si it A-hu-wa-qar DUMU Zu-ur-zu-ur a-6.5-al-ma um-ma su-ut-ma ta-ah-rsi-is 1-tam lli5-ba-ni DUMU Ba-.51-li u-ka-al-si A-zu' a.~-ba-at-ma um-ma .5u-ut-ma ki ma-~·i lu KB iz/ pi-ri-ka-ni-ka 5 GiN T A a-la1 -qe um-ma su-ut-ma ba-ab ha-ra-ni-ka KB u 0i-ba-su a-ka-na-ka-ma a-di Si-li-lip-ka-im Su-ka-tam as-ba-at-ma um-ma su-ut-ma si-li-ip-ka-lum i-ba-si a-di-ni-ma be-li a-ta a-ma-kam tit-na-hi-da-ni um-ma a-ta-ma a-na u4-me-su it-se-ra-kum urma-am ta-ciS-ta-na-me k(-ma si-mu-um ka-sit si-mi a-da-ma a-ta-be-a-ma a-ta-la-kam with nos. 496-499, in which we find Ahu-waqar and Ill-bani.","To Ali-ahum from Hanu: In accordance with your instructions Su-Hubur and I stood up and seized  Alulaya and said: ""Pay the silver and its interest."" Alulaya answered:  ""I sent him the silver a month ago with Bur-Suen."" With respect to the memorandum that you instructed me about I questioned Alulaya, and he answered:  ""Ui-qepum son of Su-Assur has it."" I also questioned Ahu-waqar son of  Zurzur, and he answered: ""HI-bani son of Basi-ilT has the memo- randum."" I seized Azu and he answered: ""I shall take enough, either in silver or from your pirikannus at 5 shekels per  piece."" He said further: ""At your depar- ture I shall seal the silver and its inter- est""; and I seized Sukkutum about the .~ilipka 'u-textile and he answered: 25  ""The silipkii 'u is available.""  It still is, and you cautioned me there, my dear lord, saying: ""I have released them to you on terms."" 30 u.e.  Today you keep hearing that trade is at a standstill.  I.e.  I shall sell my goods, set out and come."
AKT 6c.pdf,"a-na A-sur-ni-iw-ri A-la-hi-im dUTU-ba-ni it Nu-ur-Istar qi-birma um-ma Puzur4-A-na-ma a-na dUTU-ba-ni qi-birma a-~e-er ta-ah-si-is-ti-ka GIN KB sa wa-ar-ka-tam tit-.~a-ni it-ra-di-it-ni-kum ma-na AN.NA ku-nu-ki-ka it ku-nu-uk PuzurrA-,~ur sa te-zi-ba-ni IGI Da-rak1-ni-birim IGI En-na-Su-in IGI 1-di-A-sur DUMU Ku-zi-la-/nim a-na rpuzur41-A-sur DUMU i-li-a as-nPiq-su 1-ma r13 1 2/3 ma-na-su 5/6 r ma-na T A 1 a-na-ku a-su-mi-rka 1 as-qu-ul: SUNIGIN 112 ma-na AN.NA i-si-qi-i/5 ma-na-um ab-num sa [ u- ]Sa-qi-lu 1/3 ma-na ra-birat i-na i/ -ni-/tim ,§u-uq-la-tim ,§a um-me-a-ni-a I a-na pa-tit-ri-im i-zi-iz a-df AN.NA ma-sf-ra-am u-sa-as-qi-li-ni a-hi a-ta 7 GIN T A KB a-na AN.NA-ki-a: a-na sa ki-ma i-a-tf su-qu-ul : lu gi5-mi-lu-um i-a-ti ki-ma ag-mi-lu-ka-ni-ma ha-ra-nam a-di-na-ku-r um 1","To Assur-nimr1, Ali-ahum, Samas-bani and Nur-IStar from Puzur-Anna; specifically to Samas-bani: In addition to (what was in) your memo - they added 6 shekels of silver for you from after you left; 13 minas of tin under your seal and the seal ofPuzur-Assur that you left me. Suen, by Iddin-Assur son of minas at 6 5/6 minas each for you. In all, 19 12 minas oftin were paid. The 1 0 mina weighing stone by which he weighed was 1/3 mina too large. He is ready to open the packages of my investors .... Until he has made me pay the masiru- tin, my dear brother, pay 7 shekels of silver per (mina) for my tin to my rep- resentatives. May it be a favour for me since I have done you a favour and I have arranged a caravan for you."
AKT 6c.pdf,a-na U-sur-sa-!Star it A-.5ur-ba-ni qi-bi-ma um-ma rA-la 1-hu-/um-ma it-qit-ra-am .5a i. rGIS 1 il5-pu-tit-ku-nu-/ni ta-al-qe-a it-qit-ru-um 1/2 GiN URUDU : la tit-ba-a! ki-ma KB GIN KB «1m it 1/3 ma-na li-bi-i : im-ta-ra-/a~· a-ma-kam : a-na U-.~ur-sa-Istar di-si-ma a-na am-tim li-di-lsi su-ma : fa ta-di-in-lsi li-bi4 i-ma-ra-a~·,"To U~ur-sa-IStar and Assur-bani from Ali-ahum: You have taken the spoon with which 5  they anointed you with oil. The spoon is not worth Y2 shekel of worth l 0 or 20 shekels of silver. Give it to U~ur-sa-IStar there so he can give it to the maid. If you have not given it, I shall be up- set."
AKT 6c.pdf,"a-na A -[la-h ]i-im qi-bi-ma um-ma A-li-a-ma i-pa-ni-ti dJ-pu-ra-rkum 1 um-ma a-na-ku-ma (up-pu-um sa 4 ma-na 12 GIN KB a-na Su-A-sur a-na 1 1/3 ma-na 3 GIN KB a-na .~a-par-tim ti-di-i : KB .~u-qu-ul-ma u ti-ir-ta-ka li-li-kam-ma la-tal-kam be-li a-ta a-~e-er {up-pi-im .fa 1-ti-ab-.fi-na-ti sa L~-ti-ka i-ba-si-~1 il (up-pu-um .~a hu-bu-ul 1-[i-ib-.~i-na-ti-ma .~a i.~-tu li-mi-im lb-ni-JIM i-.~a-tim 112 ma-lna T A u-sa-qu-lu a-na-/ku u-ka-al A-ta-ta me-ra-lsu -.~a-ra-/sa i!i-ti AJ mur a-mi-sa-am i-ta-al-kam KB 1 ma-na u 2 ma-na SIG5-x-x i-ra-di give: ""You deposited the tablet ... to Su-Assur ... ""","To Ali-ahum from Aliya: I wrote you before, saying: ""As for the tablet concerning 4 minas 12 shekels of silver- you know (it was giv- en) as a pledge to Su-Assur for I 1/3 mi- mina 3 shekels of silver- pay the silver and then send me word so I may come."" Itiab-sinati that is with you, I have the minas of silver, that he is to pay (in in- stalments) of Y2 mina per year reckoned from the eponymy of lbni-Adad. His son Atata came there with Amur- sarrassa. Damiq-... will lead some one or two mi- nas of silver."
AKT 6c.pdf,[a-na A -lti-hi]-im [ u J-k ]u-pi-A -sur [qi-bi]-ma um-ma [A-l]i-a-ma tup-pu-lu [sa] a-birni: is-te-enx [t]a-ma-la-kum ku-nu-ku-a it ku-nu-ku-u .§a A-gu5-a il a-ha-ma i-na .~i-il.'i-a-ni r ki-16 1[ -li-i]n U [x x ]-a it is-te-/enx [ta- ]ma-la-kum [ku-nu- ]ku r.§a [ ... ]a-na [ ... ]-ku a-sa I ki-ma [ ... ] ip-qi-id,"To Ali-ahum and lkun-pi-Assur from Aliya: The tablets belonging to our father, one single tablet-container under my seal and Aguwa' s seal; also, further in both the .~ilianu­ containers and ... 10 e. rev. ... and a single tablet-container sealed by our father ..."
AKT 6c.pdf,"um-ma Su-Hu-bur-ma a-na A-la-hi-im u A-bi-a-a qi-bi-ma 2/3 ma-na AN .NA sA.BA 3 sa-bi-ra-tim sa bi-a-ni-su KI.LA.BI ma-na mi-ma u-ta na-ak-sa u 1 li-um 5sic LA 113 ma-na i-na ku-nu-ki-a ka-ni-ik a-su-mi A-ha-i si-ta? -am na-[ as]-u-ni rX X 1 pa-hi-ir-su-ma rz/ 1-la ak-nu-r uk 1 dVTV-tak-la-ku ru11 En-um-A-.~ur na-as-u-ni-ku-nu-ti GIN ig-ri-su-nu aq-bi-su-nu AN .NA li-di-nu-ni-ku-nu-ti-ma u KB di-na-su-nu-ti a-di si-na urme-e a-ma-kam wa-a,~-ba-ku","From Su-Hubur to Ali-ahum and Abiya: 20 2/3 minas of tin, thereof 3 blocks ... their weight was 15 minas. Nothing was cut off. Aiso one ingot of 4 2/3 minas was sealed by my seal. On behalf of Aha'i they bring the rest. ... gathered it but I did not seal it. Samas-taklaku and Ennam-Assur bring it to you. I promised them 5 shekels as wages. When they give you the tin, you then give them the silver. Within two days I shall be there."
AKT 6c.pdf,[KIS]IB Su-Be-lim [DUM]U /-su-SUDx a-na En-na-Su-in a-hi-su u A-!6-hi-im DUMU Sa[l-m ]a-A-.~ur,Seal of Su-Belum son of Issu-arik; to his brother Enna-Suen and to Ali- ahum son of Salim-Assur.
AKT 6c.pdf,"um-ma Su-Be-lum-ma a-na En-na-Su-in t! A-lti-hi-im qi-bi4-ma TUG qa-du-um sa ru-ha-ri-im u .~i-na : ma-as-ku-nu : Zu-ba it diM-ba-ni mu-pa-zi-ru-zl na-6.§-u-ni-ku-nu-ti GIN KB : ig-ri-su-nu di-na-~~u-nu- [ti] u GIN rK1[B x x] a-di r se1-bi4-fa [x X ]-bu-rma 1 . ~u-ha-ru-um [Ia i-sa ]-hu-ur tit-ur-da-ni sa 1 GiN KB : s[f-ni-i]n u se-na-tim: .~a si-ni-ri.~ .§a-ma-ma : se-hirla-nim a-pu-tum: TUG.HI.A ma-la : ta-le-e-a-ni di-na-c~u-nu : a-hu-z'1-a a-ti1-nu : Lu-lu : TUG. HI .A a-hi-u-tim : u.~-te-ne-ra-ab u a-tit-nu : i.5-ti-su nam-gi5-ra-ma : is-ti ~u-ha-ri-im ·Ft-ha-ar-su le-ti-qam-ma: TUG.Hl.A lu 20 lu 30 : lu-""~e-ti-qam","From Su-Belum to Enna-Suen and Ali- ahum: Zuba and Adad-bani, the smugglers, bring you 11 textiles, including those belonging to the servant, and two cov- ers. Give them their wages, 10 shekels of Buy shoes for 1 shekel of silver and some shoes for women and send them. Urgent, as for the textiles, sell them as well as you can. My dear brothers, Lulu keeps having textiles belonging to strangers brought in, so you must reach an agreement with him that his servant travels here with the servant, so he may send 20 or 30 textiles here."
AKT 6c.pdf,um-ma Su-[Be-/Um-ma] a-na L[a-qe-ep] u : A -Ia[ -hi-im] qi-bi-ma 15 TUG [.~u]-/ba-ti Wa-si- rib 1-ru-ba-ni na-a.~-a-ku-nu-ti ma-as-ku-nu [x+ ]5 GIN KB [ig- ]ri-su di-na-su ma-na SIG.HI.A .~a Sa-zu-a a-na 1-su-ri-ik di-na-rna : a-na hu-ur-1..5i-ka lu-bi-i/5 GiN KB Sa-lim-be-li sa-di-na 1 GIN KB di-na-rna sa-hi-ir-tam sa-ma-su-um,From Su-Belum to La-qep? and Ali- ahum: Wasibru-bani brings you 15 textiles (and) 2 covers. rev.  silver. Give 20 minas of wool belong- ] 0  ing to Sazuwa to Issu-arik and let him bring it to your store-room. Make Salim-beli give 4 shekels of sil- ver. Give 1 shekel of silver and buy small goods for him.
AKT 6c.pdf,a-na A--16-hi-i[ m] u A-sitr-m[a-lik],To Ali-ahum and Assur-malik; Seal of Iddin-abum
AKT 6c.pdf,"a-na A-ha-tim KI[SIB] A-la-hi-im it Seal of Iddin-abum, cf. comments to no. 663.",To Ahatum; seal of Ali-ahum and seal of  Iddin-abum.
AKT 6c.pdf,"a-na A-la-hi-im it A-sur-ma-lik qi-birma um-ma 1-di-a-bu-um-ma as-pu-ra-ku-nu-ti is-ti Be-fUm-ba-ni um-ma a-na-ku-lma A -sur-be-el-SA. TU DUMU A-la-hi-im KB a-na A-limki a-na ,~i-a-ma-tim i-di-nam ma-hi ta-le-e-la-ni a-wa-tam bu-ut-qa-ma zi ti-ir-ta-lak-nu rti 1-li-kam-ma KB [u-,5e- ]birla-ku-nu-ti-ma su-r uq 1-la-,~u-um a-hu-u-a a-ttl-nu lu a-wa-twn ba-at-qa-lat a-ni-tum la a-ni-tum ti-ir-ta-ak-nu li-li-kam-ma uz-ni pe-te-a a-hu-u-a [a ]-tit-nu ih-da","To Ali-ahum and Assur-malik from ld- din-abum: I wrote to you with Belum-bani, saying: ""Assur-bel-sadu'e son of Ali-ahum gave me silver for purchases in the City."" Settle the affair as well as you can and rev. then send me word so 1 can send you silver and you can pay him. My dear brothers, send me word and in- form me one way or the other whether the affair has been settled. I.e. My dear brothers, take care."
AKT 6c.pdf,"um-ma 1-di-A-sur-ma a-na Ha-nu-nu (erasure) A-la-hi-im z{ E-na-na-tim qi-bi-ma sa 2 ma-na KB ~a-ru-pi-im ma-hi-ir A-lim""; En-um-""JM a-na DAM.GAR-ri-im ha-bu-ul tup-pu-su ha-m·-ma-lam a-na-ku u-ka-al i-nu-mi DAM.GAR-ru-um (up-pu-,5u [x x x (x)] 15 GIN T A [x x x n ]a A-limk .yi-ib-tim li-i~-hi-ir .~i-ib-tiun lei ta-ga-mi-!a-/su .~a-as-qi-li~-.~u-ma i.~-ti a-li-ki-im pa-ni-e-ma se-bi4-la-nim ih-da-ma ~a-as-q[i-l]a-.~u tup-pa-am I sa hu-bu-li-.§u sa 30 ma-na is-ti E-na-na-tim i-b[a-si (..)] a-li-bi4 : (up-pe-a Uu-uk-na-ma] it ti-ir-t[ a-ak-nu li-li-kam J","from Iddin-Assur to Hanunu, Ali-ahum and Ennanatum: Ennam-Adad owes worth 2 minas of re- fined silver at the market price in the City to a merchant. I personally have his certified tablet. When the merchant ... his tablet 15 shekels ... ... the City ... let him deduct ... of the interest. Make him no favours on the interest. Make him pay and send it with the very first transport. Take care to have him pay . The tablet concerning his debt to the eponyms, concerning 30 minas, is in En- nanatum's possession. Place it among my tablets and then send me word."
AKT 6c.pdf,wn-ma 1-di-A-sitr-r ma a-na 1 A-la-hi-im Ha-nu-nu E-na-na-tim it Ki-ba-al qi-bi-ma r.§u 1-ma AN.NA sa En-nam-diM -.~a-(i~-qi-lit a-na rKB1 ta-e-ra-ma KB a-na Ki-ba-al di-na-ma a-ma-hi tf-ir-tf-a : le-pu-lus zi ti-ir-ta-ku-nu KB ma-lr:i : ta-di-na-.~u-ni li-li-kam {up-pi-a zi hu-ur-sa-ram 1 a-tz~-rnu 1-ma rku-un' 1-ka E-na-na-ta-am na-hi-da-ma : ba-lu-ku-nu {up-pe-e-a : ma-ma-na Ia i-pa-te : ma-ma-an e is-li-.§i cerning his tablets and store-room.,"From Iddin-Assur to Ali-ahum, Hanunu, Ennanatum and Kibal: If you have had Ennam-Adad's tin paid, then convert it to silver, give the silver to Kibal and let him act in accordance with my instructions. Also, send me word about how much silver you have given him. You have to seal for my tablets and the 15  Give Ennanatum instructions that no one rev.  must open for my tablets without your pem1ission. No one must deceive."
AKT 6c.pdf,"um-ma E-na-ah-DING[IR-ma] a-na A-la-hi-im q[i-bi]-ma a-pu-tum i-na .~a-[ a ]m-.~i tup-pa-am ta-.~a-me-u ti-ib-a-ma a-tal-kam a-n[a Sa-l]im-A-/.{ur a-hi-ku-nu i.~-t[i x x- ]tim i-ba-sf-u [ ... J URUDU SIG5 sa qa-su rii 1-[ ... ] a-na ni-bi-it URUDU SIG5 IGT .~i-bi ta-ah-si-is-ta-/ka i-di-ma ti-ib-a-ma a-tal-kam it a-na-kam L~-ti um-me-a-ni r lu-za-ki 1-ku-nu i-na ba-ri-ku-nu Ia tit-z,t.~-te-.~a-[ a- ]ma um-me-a-nu za k[a-... ] a-we-la-tit1 -ku-nu [ ... ] la i-ha-li-[qa ... J ta-sa-la-t[ a ... ]","From Enah-ili to Ali-ahum: Urgent! The very day you hear the letter you must set out and come. To your (plur.) father Salim-Assur ... . .. what is present ... copper of good quality that he has per- sonally ... deposit a memorandum before witnesses with specifications of the good copper, and set out and come here. Also, I shall clear you here with the in- vestors. You must not quarrel with each other ... , and the investors should not ... ... your women ... should not be lost ... you (plur.) must (not) act rashly ..."
AKT 6c.pdf,a-na A-la-hi-[im] qi-bi-ma um-ma A -di-[x x ]-la-ma a-di sa a-di urmi-/im a-ni[m x] rna- 1ru [ ... ] lu-mu-[un l]i-birim !a ta-r ra 1-si-am [x ma- ]na r 151 GIN u [x] tal-qe [x x A- ]sur u [x- ]ma-ma a-di rsl u4-me-e a-ta-be-/am-ma a-ta-r lri 1-kam be-li a-ta a-.~e-er ru-ba-im (up-pri-am lri-pi-ta um-ma a-ta-ma KB i-na be-ti-a ha-lri-aq mi-.~u-[ um] ta-assic·-tu-pu[ -ma] lri ta-.~u-ur,"To Ali-ahum from Adi ... : As to the fact that until this day ... you do not feel anger towards me, ... x minas 15 shekels rev. Within five days I shall set out and come. My dear lord, write a letter to the king in which you say: 'The silver was lost in my house."" Why have you kept silent and not taken action?"
AKT 6c.pdf,Li-ip-ti-lstar DUMU Lri-li-im it U-.~ur-sa-!Star a-na A-la-hi-im DUMU Sril-ma-A-sur,"Seal ofHanunu, scribe, ofLipit-Istar son ofUilum and ofU~ur-sa-IStar; to Ali-ahum son of Salim-Assur."
