tablet_id,transliteration,translation,source_pdf
9b. kt 94/k 581B,"1-šu-ri-ik a-na -lim{ki} i-la-ak-ma E-ti-šu ša bu-ri-im a-šar a-ni Ša-lim-A -šur wa-aš-bu-ni a-na Tu-ud-hi-li-a a-hu: Tu-li a-na št-mt-tm v, ' i-di-šu-nu : a-na a-wa-tim a-ni-a-tim ka-ru-um : Ka-ni-iš i-di-ni-a-ti-ma tup-pa-am H-bu-ti-ni IGI GIR ša -šur ni-di-in IGI Šu-ka-li-/a DUMU A-mur-A-šur IGIA-ku-za DUMU Šu-A-nim IGI U-ra-a","As Issu-arik will go to the City, he sold his houses by the well, where at present Salim-Assur is living, to Tudhiliya the brother of Tuli. The Kanesh colony gave us for these proceedings, and we gave a tablet with our testimony before the dagger of Assur. Witnessed by Sukkalliya son of Amur- Assur, by Akuza son of Su-Anum, by U ray a son of Manana.",AKT 6a.pdf
10. kt 94/k 998,1-di-a-bu-um E-ti ša bu-ri-im a-šar Ša-lim-A -šur wa-aš-bu iš-ti Tu-ud-ha-li-a a-hu Tu-l[i] iš-a-am a-n[ a] a-wa-tim a-n[i-a-tim] ka-ru-um Ka-ni-i[š e. i-di-ni-a-tì-ma tup-pa-am r. Ši-bu-ti-ni IGI GfR ša -šur ni-di-in IGI A-ku-za IGI U-ra-a IGI A-šur-ba-ni,"Iddin-abum has bought the houses by the well, where Salim-Assur is living, from Tudhaliya the brother of Tuli. The Kanesh colony gave us for these proceedings, and we gave a tablet with our testimony before the dagger of Assur. Witnessed by Akuza, by U raya, by Assur-bani.",AKT 6a.pdf
11. kt 94/k 780,25 TUG I-ku-num DUMU DINGIR-ILLA T 23 TUG l-šu-ŠUDx 20 TUG Bu-ut-qum 17 TUG Šu-La-ba-an DUMU A-mur-DINGIR 7 TUG A-nu-um-i-lí 8 TUG A-šur-ma-lik DUMU Pa-na-ka e. 20 TUG E-la-ma r. DUMU I-ku-nim SUNIGIN 1 me-at 20 TUG ILLA T-at l-ku-nim DUMU DINGIR-ILLA T wa-ar-ki ILLA T-at Puzur4-t-lí i-ta-qe-u,textiles: Ikiinum son of Ili-ellat; 23 textiles: Issu-arik; 20 textiles: Butqum; 17 textiles: Su-Laban son of Amur-ili; 7 textiles: Anum-iii; 8 textiles: Assur-malik son of Panaka; 20 textiles: Elamma son of Ikiinum- in all120 textiles in the caravan of Ikiinum son of Ili-ellat. After the caravan of Puzur-ili (has come) they will receive them.,AKT 6a.pdf
12. kt 94/k 1351,[a-na .... ] [u .... qí-b]i4-ma u[m-ma] r 1-dí-a-bu-um ₁-ma i-na 1 [ma-na] KB ša La-ma-šu-tum A-na-n[a] it Ab-ša-lim a-na Ha-šu-u-ma-an i-hi-ib-ía-ni-ma tup-pt ša a-bi4-ni a-na ša-pa-ar-tim i-dí-a-šu-ni IGI Ha-nu-nu Šu-ŠŠtar u A-šur-ma-lik a-wa-tí-5í-na ag-mu-ur-ma a-na i-dì ìup-pt Ša a-bi4-ni r i₁ X X a-na KB a-pu-ul-šlu-ma] [ša-]bu-ma Ši-tíKB [ ... [x x] li r x x 1 [ .. ] break [a-]na DUMU Ha-šu-u-ma-a[n] r. [š1u-uq-ía-ma u tup-p[a-am] ša ku-nu-ki-šu u ku-nu-uk um-mz-šu it a-hi-šu hi-ir-[ma-ma] ki-ma a-we-ía-tim u tup-[pz] ša a-bi4-ni u-še4-a-ni-ma KB a-hu-bu-ul a-we-ía-tim a-na-ku i-na ra-mz-ni-a [a]Š-qu-lu a-hu-a a-tu-nu be-lu-a [a]-tu-nu ih-da-ma tup-pa-am [dja-na-am le-qe-a-nim [ki-]ma KB 1 GIN ía i-ru-qì-ni-lm[a] [a-m]a-kam a-na a-hi-a I.e. [x x x xY x ₁-tim dí-na break,"To ... and ... from Iddin-abum: for the 1 mina of silver for which Lamas- sutum, Anna-anna and Ab-salim have be- come indebted to Hassu-uman, and for which they have given him tablets belonging to our father as security, I have concluded their matter with Hanunu, Su-IStar and Assur-malik as witnesses, and I reimbursed him for the tablets of our father, and he has been paid, and the rest of the silver ... Pay ... to Hassu-uman's son and then cer- tify a tablet with his seal and the seals of his mother and brother, stating that I have redeemed the women and our father's tab- lets, and that I have personally out of my own funds paid silver to cover the debt of the women. My dear brothers and lords, take care and get hold of a strong tablet, so that not a single shekel of silver will elude me, and there give ... to my brothers ...",AKT 6a.pdf
13. kt 94/k 1362,um-ma rJ.di-a₁-bu-[um-ma] a-na En-urn-A -šur u -la-hi-im qi-M._ i-ma] a-na-kam 3 GU 55 ma-na URUDU qa-at-ku-nu E ka-ri-im al-qe e. a-hu-a <a-> tu-nu r. a-naURUDU ša v urn-me-an a-bi-ku-nu a-pu-lu a-ma-kam ih-da-ma urn-me-a-m ta-i-ba-rna i-a-ti ša-hi-ta šu-ma [la] ki-am e. ma-[la] um-me-[a-ni] u-ra-ki-šu-ni-ni li-ba-ak-nu,"From Iddin-abum to Ennam-Assur and Alahum: Here I have taken 3 talents 55 mmas of black copper on your account in the col- ony office. My dear brothers, take care to satisfy the investors there for the copper that I have balanced with the investors of your father, and withdraw mine. If this does not happen, you will be sorry about everything the investors have con- tracted with me.",AKT 6a.pdf
14. kt 94/k 1721,um-ma 1-dì-a-bu-um-ma a-na Ša-lim-ma Mu-za u Ka-du-ta-La qì-bi-ma 15 GIN ku-nu-ki-a Ka-du-ta-la: na-aš-a-ki-na-lti ih-da-ma i-na ša-am-H tup-pi-i ta-ša < -me> -a-ni e. t-zt-za-ma SIG.HI.A da-mz-iq_r tum 1 r. ša-ma-ma ku-nu-ki ša ša-lim-ma a-na Ka-du-ta-La dí-na-lma lu-ub-lam SIG.HI.A a-5í-ni-pì-a r ni-aš ₁-ha a-na e. r Ša-lim ₁-ma qì-bi-ma [xY hu 1 pa-at-ra-am Ka-du-ta-La I.e. na-aš-a-ki-im,"From Iddin-abum to Salimma, Muza and Kadutala: Kadutala brings you (fern. plur.) 15 shekels under my seaL Take care to be ready the very day you hear my letter, buy good wool and give it to Kadutala under Salimma's seal, so he may bring it. The wool has been deducted for my two- thirds. To Salimma: Kadutala brings you a ... dagger.",AKT 6a.pdf
15. kt 94/k 1184,[na-a']Š-pa-ar-t[am ša] rKB₁₁₁ [ ••• ] [ša 1-]dí-a-bi-bu-um a-na r [l-tur4-]DINGIR i/ A-La-hi-im [ u-š1e-bi4-ša-ni,The missive concerning silver that Iddin- abum sent to ltur-ili and Ali-ahum.,AKT 6a.pdf
16. kt 94/k 1061,tup-pu-u ša hu-bu-ul I-di-a-bi4-im m-a-tm,Tablets concerning our Iddin-abum's debts.,AKT 6a.pdf
17. kt 94/k 1028A,KISIB -mur-ŠŠtar KISIB En-nam-A -šur DUMU Me-rna₁-/a KISIB I-di-a-bi4-im [ša] hu-b[ u-ul] e. I-di-a-bi4-im r20₁ m[a-na] KB iš-tu ha-mu-uŠ-tim ša Li-ba-a : a-na 13 ha-am-ša-tim i-ša-qal šu-ma Ia iš-qu-ul 11/2 GIN TA i-na ITI.KAM a-na 1 ma-na-im e. I.e. šu-ma Ja-ma U4-mu-šu im-lu-u-ni tup-pu-šu ša na-ru-qi-šu i/5-ta-ap-tu 5 ma-na KU.GI šu-mt Šu-{d}EN .LiL i-la-pa-at,"Seal of Amur-IStar, seal of Ennam-Assur son of Menaya, seal of Iddin-abum. Concerning the debt of Iddin-abum: Reckoned from the week of Libbaya he must pay 20 minas of refined silver within 13 weeks. If he has not paid (in time), he must pay interest at the rate 1 shekel per month per mma. If they have written the tablet for his joint-stock investment before the comple- tion of his term, he shall book 5 minas of gold in Su-Illil's name.",AKT 6a.pdf
18. kt 94/k 1028B,20 ma-na KB Qine reased) 1-di-a-bi4-im Su-{d}EN.LiL i-šu iš-tu ha-mu-uš-tim ša Li-ba-a a-na 13 ha-am-ša-/tim i-ša-qal šu-ma ta iš-qu-ul e. 1 GINTA i-na ITI.KAM r. a-na 1 ma-na-im šu-ma la-ma u4-me-šu tup-pu-šu i-la-pu-tu 5 ma-na KU.GI šu-mì Šu-{d}EN .LfL i-La-pa-at e. IGI -mur-ŠŠtar IGI En-nam-A-/šur,"Iddin-abum owes 20 minas of refined sil- ver to Su-Illil. Reckoned from the week of Libbaya he must pay in 13 weeks. If he has not paid (in time), he must add interest at the rate 1 shekel per month per mma. If they write his tablet before his term is up, he shall book 5 minas of gold in the name of Su-Illil. Witnessed by Amur-IStar, by Ennam- Assur.",AKT 6a.pdf
19. kt 94/k 1275A,[20] ma-na KB [iŠ-t]u ha-mu-uŠ-[tim] [ša kaY-H-im 1 a-na [13] [ha-a]m-ša-tim break,... 20 minas of refined silver. Reckoned from the week of the kaššum he must pay within 13 weeks ...,AKT 6a.pdf
20. kt 94/k 1275B,20 ma-na KB I-di-a-bi4-lim Su-{d}EN.LIL i-šu iš-tu ha-mu-uš-tim ša ka-H-im a-na 13 ha-am-lša-tim e. i-ša-qal šu-ma r. i-na ma-la u4-me-šu r la eš-qu-uíl 1 1/2 GIN T i-na ITI.KAM a-na 1 ma-na-im IGI Puzur4-A-šur IGI -šur-i-mi-ti e. IGI Šu-A -nim IGI -šur-be-el-a-wa-tim,"Iddin-abum owes 20 minas of refined sil- ver to Su-Illil. Reckoned from the week of the kaššum he must pay within 13 weeks. If he has not paid at the completion of his term, he must pay interes at the rate 1 Y2 shekel per month per mina. Witnessed by Puzur-Assur, by Assur- imitti, by Su-Anum, by Assur-bel-awatim.",AKT 6a.pdf
21. kt 94/k 1274A,[KIS]IB A-šur-ma-lik DUMU DINGIR-ba-ni [KISIB A-la-hi-Y im 1 DUMU 1-na-ah-DIN GIR [KISIB -mur-ŠŠtar DUM]U Mz-šu-GAL [KISIB -gu-a KISIB] r Jl-dì-a-bi-r im 1 [ša 24 ma-na K]B 1-dì-a-bi-im] ha-mu-uŠ-tim ša Li-ba-a it ú.lì.r -ti-]r kal₁ a-na 20 ha-am-ša-tim i-ša-qal šu-ma la iŠ-qu-ul 11/2 GIN TA: a-na ma-na-im i-na ITI.l.KAM šu-ma tup-pu-šu : i-ld-pu-r tit 1 6 ma-na GUS[KIN] šu-mz [A-]Šur-be-el-a-wa-tim i-ld-pa-at,"Seal of Assur-malik son of IIi-bani, seal of Ali-ahum son of Inah-ili, seal of Amur- !Star son of Missu-rabi, seal of Aguwa, seal of Iddin-abum. Concerning 24 minas of refined silver that Iddin-abum owes to Assur-bel- Reckoned from the week of Libbaya and Ilis-tikal he must pay within 20 weeks. If he has not paid (in time), he must pay interest at the rate 1 shekel per mina per month. If they write his tablet, he must book 6 minas of gold in the name of Assur-bel- awatim.",AKT 6a.pdf
22. kt 94/k 1274B,24 ma-na KB 1-di-a-bi-im i-šu iš-tit ha-mu-uš-tim ša Li-ba-a u 1-H-iš-tí-kdt a-na 20 ha-am-ša-tim e. [i-]Ša-qal: šu-ma [l]a iš-qu-ul' GIN 1 1/2 TA r. [a]-na ma-na-im r i₁-na ITL l.KAM šu-ma tup-pu-šu i-la-pu-tu 6 ma-na KU.GI šu-mì -šur-be-el-a-lwa-tim i-[la-p ]a-at e. IGI -šur-ma-lik IGI A-la-hi-im IGI A-mur-ŠŠtar I.e. IGIA-gu-a,"Iddin-abum owes 24 minas of refined sil- ver to Assur-bel-awatim. Reckoned from the week of Libbaya and Ilis-tikal he must pay within 20 weeks. If he has not paid (in time), he must add interest at the rate 1 shekel per mina per month. If they write his tablet, he must book 6 minas of gold in the name of Assur-bel- awatim. Witnessed by Assur-malik, by Alahum, by Amur-IStar, by Aguwa.",AKT 6a.pdf
23. kt 94/k 1016,ma-na KV 8 1-di-a-birim Ku-la: i-šu iš-tu : ha-mu-uš-tim ša Ha-pì-ahJ šu 1 u Šu-ka-lí-a a-na 25 ha-am-ša-ltim a-na -lim{ki} i-ld-ak-ma iš-tí um-me-a-ni-šu 2 ma-na KU.GI šu₁-mì :Ku-la e. i-la-pa-at šu-ma : i-na ma-la r. l. U4-me-šu v : a-na - zm ki la i-ta-ld-ak KB a-na Ku-la i-ša-qal : šu-ma ta iš-qu-ul : a-na 1 ma-na-im 1112 GIN./TA i-na 1 ITU .KAM IGI A-šur-ba-ni IGI 1-di-Šu-in,"Iddin-abum owes 8 minas of refined silver to Kula. Reckoned from the week of Happi-ahsu and Sukkalliya he must go to the City within 25 weeks and together with his in- vestors he must book Kula's name for 2 minas of gold. If he has not left for the City within his stipulated term, he must repay the silver to Kula. If he has not paid (in time), he must pay interest at the rate 1 'l2 shekel per mina per month. Witnessed by Assur-bani, by Iddin-Suen.",AKT 6a.pdf
24. kt 94/k 1050A,KISIB A-ku-za DUMU Šu-A-nim KISIB Šu-A-nim DUMU [x x]-ki KISIB 1-di-a-bi-im ša 2 ma-na KU.GI R. 1-ku-pi-A -šur a-na 1-di-a-bi-im DUMU /-su-SUDx i-di-nu-ma šu-um-šu i-A -lim{ki} KI um-me-a-ni-šu e. i-La-pu-tu I.e. KB ša-bu,"Seal of Akuza son of Su-Anum, seal of Su- Anum son of ... ki, seal of Iddin-abum. Concerning the 2 minas of gold that Ikun- pi-Assur gave to Iddin-abum son of Issu- arik, so he may write his name in the City together with his investors - he has been paid the silver.",AKT 6a.pdf
25. kt 94/k 1050B,"i-nu-mi I-dì.r a-₁[ bu-um] a-na -lim{ki} i-lu-ku 2 ma-na rKU.GP i-na na-ru-qi-šu KI um-me-a-ni-šu šu-mi I-ku-pi-A -šur i-la-pa-at KB ša-bu-u e. 4 ma-na KB ni-iš-ha-šu DIRI r. ša-du-a-šu ša-bu KI wa-ar-ki-u-tim u-še-ba-lam: GAN-lam a-di A-lim{ki} a-šu-mi Ku-ra e-ti-iq : lu-qu-lšu iš-tu A-li[ m{ki}] a-šu-mi ki-La-l[i-m]a: GAN-lam e-ti-qam : IGI -ku-za IGI Šu-A-nim e. i-nu-mi I-di-a-bu-[ um] a-na -lim{ki} I.e. i-lu-ku qa-di na-ru-qz-šu-ma , v : e-tt-/ , /"" tq","When Iddin-abum goes to the City he will book 2 minas of gold in his joint-stock capital together with his investors in the name of Ikiin-pi-Assur. He has been paid the silver. 4 minas of silver, its import duty added, its transport tariff paid for, he will send with the next transport. It will pass overland until the City in Kura's name. The goods purchased will pass overland from the City in the names of both. Witnessed by Akuza, by Su-Anum. When Iddin-abum goes to the City it will go along together with his joint-stock in- vestments.",AKT 6a.pdf
26. kt 94/k 580,ma-na KO ni-iš-ha-šu DIRI ša-du-a-šu ša-bu i-na ILLA T Šu-{d}EN ./LIL a-na l-di-a-bi4-im a-na e-bu-tim 1-dt-A-šur e. i-dì-in IGI -šur-ba-ni r. IGI La-qe-ep,"Iddin-Assur has given minas of refined silver, its import duty added, its transport tariff paid for, from the caravan of Su-Illil, to Iddin-abum as an investment loan. Witnessed by Assur-bani, by La-qep.",AKT 6a.pdf
27. kt 95/k 393,u-pa-am] a-na 1-dì-a-[ bi-im] i-dì < -in > : i-na -lim[ki] šu-mì DAM.GAR-ri-[im] 2 ma-na KU.GI e. i-ta-pa-at IGI La-qe-p[i-im] r. IGI La-qe-ep D UMU d [EN .LIL-ba-ni] ',"Iddin-abum. He will book 2 minas of gold in the name of a merchant in the City. Witnessed by La-qepum, by La-qep son of Illil-bani.",AKT 6a.pdf
28. kt 94/k 1025A,KISIB -šur-e-mu-qi KISIB En-nam-A-šur DUMU Me-na-a KISIB 1-di-a-bi-im ša hu-bu-ul 1-dì-aJ bi4-im 1 13 1/3 ma-na KB ma-al-u ša A-mur-ŠŠtar r.,"Seal of Assur-emuqi, seal of Ennam-Assur son of Menaya, seal of Iddin-abum. Concerning Iddin-abum's debt of 13 1/3 minas of refined silver. His term has ex- pired. Concerning Amur-IStar.",AKT 6a.pdf
