transliteration,translation,source
2 perekannē <PN>Šukkutum</PN> 2 perekannē <PN>Enna-Suen</PN> 2 perekannē u šitrum ša akkadiē ½ šiqil kaspam i- libbi <PN>Ḫānu</PN> 1 perekannum 1 ša <GN>Zalpa</GN> nibrarum <PN>Azu</PN> u <PN>Ili-ašranni</PN> aṣṣēr <PN>Amur-Ištar</PN> ublū mimma perekannē anniūtem ana tadmiqtem <PN>Ištar-lamassī</PN> tattaddin,"2 pirikannus: Šukkutum; 2 pirikannus: Enna-Suen; 2 pirikannus and an Akkadian undergarment, (and) ½ shekel silver owed by Hanu; 1 pirikannu, 1 from Zalpe, a nibrāru, Azu and Ilī-ašrannī brought to Amur-Ištar. All these pirikannus Ištar-lamassī has given as free loans.",original
<PN>Ikuppiya</PN> u <PN>Ennum-Aššur</PN> iṣbutūniātima umma <PN>Ikkupiya-ma</PN> ana <PN>Ennum-Aššur-ma</PN> 5 bilat weri masi'am šabburam ḫu-ub-lam-mā <PN>Puzur-Dudu</PN> līpulka 5 bilat weri masi'am šabburam <PN>Ennum-Aššur</PN> ana <PN>Ikuppiya</PN> iḫbulma <PN>Puzur-Dudu</PN> <PN>Ennum-Aššur</PN> epul umma <PN>Puzur-Dudu-mā</PN> ana 15 ūmē 5 bilat weriaka anāku ašaqqalakkum umma <PN>Ennum-Aššur-ma</PN> šu-mā-ba ina 15 ūmē ūmū mimma etatqu umma <PN>Ikkupiya-ma</PN> 5 bilat weriaka masi'am šabburam <PN>Puzur-Dudu</PN> lišqulakkum ana ṣibtem mala ūmū e-tí-qú-ni-ni iāti weri anniem ana 4 ūmē ilum i--ša-ḫi-iṭ-mā ḫamuštum ša <PN>Adad-ṣulūlī</PN> x x-x warḫem <PN>Kuzalli</PN> līmum <PN>Ṣilūlu</PN> umma <PN>Ikkupiya-ma</PN> ana <PN>Ennum-Aššur-ma</PN> inūmi ana <GN>Burušḫaddem</GN> tērrabāni u <PN>Adā</PN> ša kaspam 1 <PN>Mana</PN> u 2 <PN>Mana</PN> anaḫtaka ta-lā-qé-mā u anāku lagmilka ana awâtem anniātem kārum <GN>Waḫšušana</GN> iddinniātima maḫar patar ša <PN>Ašu</PN>,"Ikūn-pīya and Ennam-Aššur seized us, and Ikūn-pīya said to Ennam-Aššur: Lend me 5 talents of washed, broken copper, and have Puzur-Šamaš reimburse you."" Ennam-Aššur lent 5 talents of washed, broken copper to Ikūn-pīya and Puzur-Šamaš should reimburse Ennam-Aššur. Puzur-Šamaš said: ""Within 15 days I shall personally pay you your 5 talents of copper."" Ennam-Aššur answered: ""What then if indeed on the 15th day your terms become exceeded at all?"" Ikūn-pīya answered: ""Let Puzur-Šamaš pay you your 5 talents of washed, broken copper. As for the interest, as much as the term is exceeded this copper is my obligation."" In 4 days the god will rise and it is the week of Adad-ṣulūlī ... month Kuzallu, eponymy Ṣilūlu. Ikūn-pīya continued saying to Ennam-Aššur: ""When you arrive at Purušhaddum, then you will personally receive your earnings from 1 or 2 minas of silver, and thus I shall do you a favour myself."" The Wahšušana colony gave us for these proceedings and we gave our testimony before Aššur's dagger. Witnessed by Aššur-idī, by Elāli; Puzur-ilī son of Balzuenum was our (absent) partner. """,original
umma <PN>Itūr-ilī-ma</PN> ana <PN>Ennum-Aššur</PN> u <PN>Al-aḫim</PN> qibima apputtum apputtum rāmakkunu zakki'amma mimma weri ana <GN>Burušḫaddem</GN> lā tušebbalā a--mā-tum-mā abattiq u wattur dinamma kaspam liqeamma ṭib'ānimma atalkānim a- mala i- panītem ana bēl kaspam usalliuma lā imgurūninni ūmam imtagrūni,"From Itūr-ilī to Ennam-Aššur and Ali-ahum: Urgent, urgent, clear yourselves and do not send any copper to Burušhaddum! Sell even the slave-girls for any price, take the silver and set out and come! As I previously pleaded with the financiers and they did not agree - today they have agreed!",original
ana <PN>Šalim-Aššur</PN> qibima umma <PN>Iddin-abum</PN> <PN>Itūr-ilī</PN> <PN>Inaḫ-ilī</PN> <PN>Ennum-Aššur</PN> u <PN>Al-aḫum-ma</PN> tašpuram umma attāma … kutānū aḫamma 92 abarniū …-a--šùr qīptem … x x x kutānē … burā'ē … tašpuranni x x x ku …-at-mā <PN>Adā</PN> ammākam x x x nim … šattem-ur ištēniš ṣubātīka x mi'at x ṣubātūa i--ina qerbemma 4 kusiātem 2 burā'ē ana 27⅚ <PN>Mana</PN> 2 šiqil annukum x x x-nim talaqqe 1 mi'at x x x x ṣubātū … lu kutānū x x 7 abarniū … (TÚG)kam-sú-tim damqūtem 1 kutānum u ku-…-ar <PN>Wardum-…</PN> ina …-a--šùr x x x 30 kutānē damiqtam … ezib 4 ṣubātem …-šu 11 <PN>Mana</PN> x-6 šiqil … ri x x tama … 4 mi'at 7 … x x x-tim … 50 ṣubātem ana … 7 ṣubātem nisḫātum … 20 x ana … u 3 mi'at 17 … … x ṣubātem ša liwītem … kutānūka … <PN>Kurub-Ištar</PN> 5 [...] x x x x x kunnukī … x x x kutānū ina bētum … x x x-kà ibaššiu ina … ša ana <PN>Al-aḫim</PN> tadinnū x emārum i--n,"To Šalim-Aššur from Iddin-abum, Itūr-ilī, Inah-ilī, Ennam-Aššur and Ali-ahum: You have written us, saying: x, further, 92 Abarnian textiles, ..."" ... -Aššur ... of credit ... x ... -textiles that you wrote ... you must ... there; ... total of your textiles: x hundred textiles; thereof 4 robes, 2 -textiles you will receive for 27⅚ minas 2 shekels of tin ... 100 ... textiles ... either  ... 7 Abarnian textiles ... fine -textiles ... 1  ... 30 fine -textiles ... apart from 4 textiles ...50 textiles for ... 7 textiles, the import duty, ... x textiles for the wrapping ... your -textiles ... Kurub-Ištar ... sealed ...  in the house ... are available ... that you [gave] to Ali-ahum, x donkeys died during the journey, their ... he bought for 32 shekels of silver; 23 donkeys has ...-Aššur ... to Burušhaddum; ... 10 donkeys Ali-ahum left in support of your goods. 1 donkey ... bought. Of the 2 minas of silver that you gave for his disposal 32 shekels of silver he paid as the price of ... For the rest of your silver, ... x minas 2 shekels of his tin 600 nails ... I returned to you. 86 green ones ... of the wool ... 5 minas 8 shekels of tin ... 24 minas each. 1 talent of copper that your eye ... and 4 ... 20+x minas 5 shekels of tin under your seal ... that when they ... released, now, 4 talents 12 minas of theirs; 27! ⅚ minas 2 shekels of tin he received for 4 robes and 2 -textiles, and your tin, 5 talents 57 minas 7 shekels - 4 talents ... Dadaya ... Qaqqadānum ... and ½ mina Aššur-... of 48 ... Uzuwa to Kanesh ... tin and textiles 10 ... 10½ minas of tin ... to the son of Ikra... the rest of your tin: 30 ... in ...""",original
ana <PN>Al-aḫim</PN> u <PN>Aššur-mālik</PN> qibima umma <PN>Iddin-abumma</PN> aspurakkunūti ište <PN>Bēlum-bānī</PN> umma anākuma <PN>Aššur-bēl-šaduē</PN> mer'a <PN>Al-aḫim</PN> kaspam ana ālem ana ši'āmātem iddinam mala tale''e'āni awātam butqamma u tîrtakunu lillikamma kaspam ušēbilākunūtima šuqlaššum aḫḫūa attunu lu awâtum ba-at-qá-at annītum lā annītum tîrtakunu lillikamma uznī peteā aḫḫūa attunu iḫdā,"To Ali-ahum and Aššur-malik from Iddin-abum: I wrote to you with Bēlum-bāni, saying: Aššur-bēl-šadu'e son of Ali-ahum gave me silver for purchases in the City."" Settle the affair as well as you can and then send me word so I can send you silver and you can pay him. My dear brothers, send me word and inform me one way or the other whether the affair has been settled. My dear brothers, take care. """,original
[...] xxxxxx akkadiē kunukkīa 1 emārum ṣallāmam <PN>Šalim-bēlī</PN> u <PN>Aššur-pilaḫ</PN> naš'ūnekkunūti 15 šiqil kaspam ši'im emārum aḫamma 6 šiqil kaspam kutānam addišunūti kaspam ⅓ <PN>Mana</PN> 1 šiqil pá-zu-ur-tí-šu-nu šabbu ṣubātem kunukkīa li-im-nu-u-ni-ku-nu-tí-mā u ṣubātem ša bētum <PN>Al-aḫim</PN> e-zi-bu-ni ana <PN>Uku</PN> piqdāma ana <GN>Durḫumit</GN> ana ṣērīa lublam 4 <PN>Mana</PN> annukum kunukkīa <PN>Uku</PN> naš'akkunūti ammākam <PN>Šuma</PN> emārum iḫaššaḫ emārum šāmāšum u saḫertam šāmāšum emārum <PN>ṣa-lā-mā-Amurrum</PN> u unūt emārum a--šī-ni x sú u šina palīlē ša <PN>Šalim-bēlī</PN> u <PN>Aššur-pilaḫ</PN> i--ra-dí-u-ni-ku-nu-tí-ni ana <PN>Uku</PN> dinamma ṣubātem lisridam xx naruqqātem u išrem dēn [...] … ana <GN>Naḫur</GN> ṭurdāniššu … napriṣē ammākam … x lublam a--ga-da-tim …-na-ṣimid-a--kum,"... x Akkadian textiles under my seal, 1 black donkey, this Šalim-bēlī and Aššur-pilah bring to you (plural). I gave them 15 shekels of silver, the price of a donkey; further, 6 shekels of silver (and) a . They have been paid in silver ⅓ mina 1 shekel for their smuggling. Let them count the textiles under my seal for you, and then entrust the textiles that I left in Ali-ahum's house to Uku and have him bring them to me in Durhumit. Uku brings you 4 minas of tin under my seal. If he wants a donkey there, buy him a donkey. Also, buy him small goods. Give Uku a black donkey plus the donkey's harness ... plus 2  that Šalim-bēlī and Aššur-pliah lead to you and have him pack the textiles. Give ... sacks ... send him to Nahur ... my chisel ... let him bring there ... he brings to you.",original
9 šiqil annukum <GN>Eluḫḫut</GN> 10 šiqil annukum u šalšātem <PN>Ennānum</PN> x <PN>Mana</PN> [...],9 shekels of tin: Eluhut;,original
kunuk <PN>Aššur-imittī</PN> mer'a <PN>Amur-lūṣu</PN> kunuk <PN>Abu-šalim</PN> mer'a <PN>Aššur-emūqī</PN> ana awâtem anniātem ša <PN>Ilī-bānī</PN> mer'a <PN>Amur-Aššur</PN> u <PN>Aḫu-waqar</PN> mer'a <PN>Šu-Ištar</PN> patar ša <GN>Aššur</GN> iṣbutūnima <PN>Aššur-imittī</PN> mer'a <PN>Amur-lūṣu</PN> u <PN>Abu-šalim</PN> mer'a <PN>Aššur-emūqī</PN> pīšunu išmeūni x x x-ni … <GN>Aššur</GN> x x x x x ṭuppū … abīni,"Seal of Aššur-imittī son of Amur-luṣu, seal of Abu-šalim son of Aššur-emūqī. For these proceedings concerning Ilī-bāni son of Amur-Aššur and Ahu-waqar son of Šu-Ištar - they seized Aššur's dagger and Aššur-imittī son of Amur-luṣu and Abu-šalim son of Aššur-emūqī heard their statement. ...",original
ana <PN>Puzur-Adad</PN> <PN>Ladiā</PN> <PN>Ennum-Aššur</PN> <PN>Enna-Suen</PN> <PN>Aššur-idī</PN> <PN>Ikuppiya</PN> u <PN>Lila</PN> qibima umma <PN>Ennum-Aššur</PN> u <PN>Al-aḫum-ma</PN> ina 40 bilat weri damiqtam ša <PN>Iddi(n)-Aššur</PN> ummiānē eppulu ša 22 bilat weri damiqtam ša libbi <PN>Al-aḫim</PN> kasapšu annākam nēnu ummiānē nuṭa''ib ina qerbemma ša 22 bilat weri qātātēšunu <PN>Iliā</PN> <PN>Itūr-ilī</PN> u <PN>Iddin-Kūbum</PN> kasapšu ilqeu šîttē weri 18 bilat 6 <PN>Mana</PN> weri i- libbi <PN>Iddi(n)-Aššur</PN> allān anniem mimma i- libbīšu ula ibašši <PN>Šuma</PN> ana qātātēšunu <PN>Ennum-Aššur</PN> u <PN>Ikuppiya</PN> imassi'ū qātātēšunu lilqeūma šēbē šuknaššunūti bēlūni attunu u tîrtakunu lillikam u bēlū kaspam mādūtum ša lā ilqeuni aḫḫuru,"To Puzur-Adad, Ladiya, Ennam-Aššur, Enna-Suen, Aššur-idī, Ikūn-pīya and Lila from Ennam-Aššur and Ali-ahum: Of the 40 talents of good copper about which Iddin-Aššur reached an agreement with the investors, we have here satisfied in silver the investors for the 22 talents of good copper that was in Ali-ahum's possession. Thereof, for the 22 talents of copper, their shares, Iliya, Itūr-ilī and Iddin-Kūbum have received its value in silver. The rest of the copper, 18 talents 6 minas of copper, is in Iddin-Aššur's possession. Apart from this nothing is in his possession. If Ennam-Aššur and Ikūn-pīya take responsibility for their shares, they may receive their shares, but set witnesses for them. Our dear lords, also, send us word, for a great many creditors who have received nothing remain.",original
kārum dēnam idīnma <PN>Šalim-Aššur</PN> ṭuppušu a- šēbēšu mala kaspam ana ḫubul <PN>Iddin-abim</PN> ušaqqilu ištēniš kaspam ana mer'ē <PN>Iddin-abim</PN> iqabbi umma šūtma kaspam anniem <PN>Aḫaya</PN> ušaqqil,"The colony has passed a verdict stating that Šalim-Aššur must mention to the sons of Iddin-abum his tablets for his witnesses to how much silver - all the silver - he has paid to cover Iddin-abum's debt. He is to say: This silver I paid in different places.""""",original
23½ bilat šāpātem 66 maškū 10 emārum ṣallāmū u unūssunu 25 ṣubātem mimma anniem i- šanītem šé-pī-šu-nu 10 šiqil annukum 2 šēnēn ša sinništem 8 šé-ni ša ṣuḫrem 3 maršū eBāttūni duglē mimma anniem ana qātīšunu <PN>Adin</PN> ezib saḫertam ša i- panītem a- qātīšunu addinuni 19 bilat 20 <PN>Mana</PN> šāpātem mi'at 2 maškū i- šēp <PN>Ašu'uman</PN> illik,"23½ talents of wool, 66 fleeces, 10 black donkeys plus their harness, 25 textiles - all this in their second transport.",original
[...] <PN>Šalim-wardī</PN> u <PN>Šu-Nunu</PN> apqid maḫar <PN>Aššur-idī</PN> mer'a <PN>Mumulānim</PN> maḫar <PN>Aššur-taklāku</PN> mer'a <PN>Ikūnim</PN> mer'a <PN>Samā</PN> mimma anniem a- <GN>Durḫumit</GN> [...] x x x ša kīma iāti ušēbil,"... I entrusted to Šalim-wardī and Šu-Nūnu. Witnessed by Aššur-idī son of Mu-mulānum, by Aššur-taklāku son of Ikūnum son of Samaya. ",original
13 <PN>Mana</PN> kaspam ṣarrupam <PN>Ennum-Aššur</PN> mer'a <PN>Suen-nādā</PN> 5⅓ <PN>Mana</PN> kaspam ṣarrupam <PN>Suen-nādā</PN> merāšu ilqeu ina ši'im x x x x x x x x maḫar <PN>Aššur-imittī</PN> maḫar <PN>Išme-ilī</PN> maḫar bi-… mer'a <PN>Ḫanania</PN> maḫar <PN>Ilī-rē'ī</PN> mer'a <PN>Šaqṣim</PN>,"Ennam-Aššur son of Suen-nādā has received 13 minas of refined silver, and Suen-nādā his son has received 5⅓ minas of refined silver . Witnessed by Aššur-imittī, by Išme-ilum, by Bi... son of hannāniya, by Ilī-rē'ī son of Šakṣum. ",original
4 šiqil kaspam iṣṣēr x-a--šur tamkārum īšu warḫem Allānātem ana warḫem išaqqal <PN>Šuma</PN> lā išqul ⅓ šiqil ina warḫem uṣṣab līmum <PN>Aššur-nādā</PN> ḫamuštum ša qātē <PN>Qarwā</PN> maḫar <PN>Aššur-idī</PN>,"4 shekels of silver [... ... ...-Aš]šur owes to the creditor. Contracted in month XII. He will pay within a month. If he does not pay he will add as interest ⅓ shekel per month Year eponymy of Aššur-nādā, week eponymy of the successor of Karwaya. Witnessed by Aššur-idī",original
umma <PN>Buburānum-ma</PN> ana <PN>Abiā</PN> u <PN>Aššur-ṭāb</PN> qibima ana <PN>Aššur-ṭāb</PN> qibima ištu <PN>Narmak Aššur</PN> <PN>Badia</PN> ammākam wašābma u <PN>Adā</PN> ta-ṣimid-ta-pu <PN>Šuma</PN> aḫḫūa attunu ište ālikem paniemma pī-iq-da-ni-šu-mā ana ālem lillikamma dāssu ašaqqal <PN>Šuma</PN> alākam lā imūa apputtum lā i--ṣa-li-ku-nu kà-sí-a--šu-mā šé-ri-a--ni-šu,"From Buburānum to Abiya and Aššur-ṭāb; specifically to Aššur-ṭāb: Badiya has lived there since the month Narmak-Aššur, and you just kept silent. If you are truly my brothers, then hand him over to the very first caravan and let him come to the City, and I shall pay his fees. If he refuses to come, then it is important that he does not cheat you. Bind him and have him brought.",original
ana <PN>Al-aḫim</PN> qibima umma <PN>Puzur-Aššur-ma</PN> ½ <PN>Mana</PN> kaspam ana panīa ša a--ḫu-zu-mā tušēbilanni ½ <PN>Mana</PN> kaspam kunukkīa <PN>Ennānum</PN> mer'a <PN>Kuzīya</PN> ublakkum aḫī <PN>Adā</PN> našperātem ša ālem ša <PN>Ennānum</PN> ublakkuni iḫidma a- bātiqem paniemma dinma lublū ište wāṣiem paniemma lu-ṣí-am,"To Ali-ahum from Puzur-Aššur: ½ mina of silver that I acquired for myself(?) and you sent to me, ½ mina of silver under my seal Ennānum son of Kuziya brought to you. My dear brother, pay attention to the missives from the City that Ennānum brought to you, and give it (an answer?) to the very first express transport so they may bring it. He should leave with the first travellers to depart.",original
