entry_type,form,norm,lexeme,type,known_meaning,train_frequency,in_train_data,eBL
lexicon,ú,u,u,word,,940,True,https://www.ebl.lmu.de/dictionary?word=u
logogram,DU₁₀,DU₁₀,DU₁₀,logogram,good/sweet,893,True,
logogram,BA,BA,BA,logogram,,787,True,
logogram,DUG,DUG,DUG,logogram,,765,True,
logogram,SIPA,SIPA,SIPA,logogram,,661,True,
logogram,ITU.1.KAM,ITU.1.KAM,ITU.1.KAM,logogram,,559,True,
logogram,DIRI,DIRI,DIRI,logogram,,554,True,
lexicon,URUDU,weri,warī'um,word,,541,True,https://www.ebl.lmu.de/dictionary?word=warī'um
lexicon,URUDU,weriam,warī'um,word,,541,True,https://www.ebl.lmu.de/dictionary?word=warī'um
lexicon,URUDU,weriem,warī'um,word,,541,True,https://www.ebl.lmu.de/dictionary?word=warī'um
lexicon,URUDU,werium,warī'um,word,,541,True,https://www.ebl.lmu.de/dictionary?word=warī'um
lexicon,KIŠIB,kunukkum,kunukku,word,,520,True,https://www.ebl.lmu.de/dictionary?word=kunukku
lexicon,KIŠIB,kunuk,kunukku,word,,520,True,https://www.ebl.lmu.de/dictionary?word=kunukku
lexicon,šu-ma,šumma,šumma,word,,505,True,https://www.ebl.lmu.de/dictionary?word=šumma
lexicon,šu-ma,Šuma,Šumā,PN,,505,True,https://www.ebl.lmu.de/dictionary?word=Šumā
lexicon,šu-ma,šumma,šumma,word,,505,True,https://www.ebl.lmu.de/dictionary?word=šumma
logogram,PUZUR₄.,PUZUR₄.,PUZUR₄.,logogram,,501,True,
lexicon,lu,lu,lu,word,,478,True,https://www.ebl.lmu.de/dictionary?word=lu
lexicon,ki-ma,kīma,kīma,word,,454,True,https://www.ebl.lmu.de/dictionary?word=kīma
lexicon,ki-ma,kīma,kīma,word,,454,True,https://www.ebl.lmu.de/dictionary?word=kīma
lexicon,i,i-,ina,word,,453,True,https://www.ebl.lmu.de/dictionary?word=ina
lexicon,qí-bi-ma,qibima,qabā'u,word,,444,True,https://www.ebl.lmu.de/dictionary?word=qabā'u
lexicon,a,a-,ana,word,,433,True,https://www.ebl.lmu.de/dictionary?word=ana
lexicon,AN.NA,annekē,annuku,word,,412,True,https://www.ebl.lmu.de/dictionary?word=annuku
lexicon,AN.NA,anniki,annuku,word,,412,True,https://www.ebl.lmu.de/dictionary?word=annuku
lexicon,AN.NA,annak,annuku,word,,412,True,https://www.ebl.lmu.de/dictionary?word=annuku
lexicon,AN.NA,annakam,annuku,word,,412,True,https://www.ebl.lmu.de/dictionary?word=annuku
lexicon,AN.NA,annekem,annuku,word,,412,True,https://www.ebl.lmu.de/dictionary?word=annuku
lexicon,AN.NA,annukum,annuku,word,,412,True,https://www.ebl.lmu.de/dictionary?word=annuku
lexicon,AN.NA,annukū,annuku,word,,412,True,https://www.ebl.lmu.de/dictionary?word=annuku
lexicon,iš-tí,ište,ište,word,,396,True,https://www.ebl.lmu.de/dictionary?word=ište
lexicon,GÚ,biltum,biltu,word,,376,True,https://www.ebl.lmu.de/dictionary?word=biltu
lexicon,GÚ,bilat,biltu,word,,376,True,https://www.ebl.lmu.de/dictionary?word=biltu
lexicon,GÚ,biltam,biltu,word,,376,True,https://www.ebl.lmu.de/dictionary?word=biltu
lexicon,GÚ,biltēn,biltu,word,,376,True,https://www.ebl.lmu.de/dictionary?word=biltu
lexicon,GÚ,biltem,biltu,word,,376,True,https://www.ebl.lmu.de/dictionary?word=biltu
lexicon,GÚ,bilat,biltu,word,,376,True,https://www.ebl.lmu.de/dictionary?word=biltu
lexicon,GÚ,bilātem,biltu,word,,376,True,https://www.ebl.lmu.de/dictionary?word=biltu
lexicon,a-lim(ki),ālem,ālu,word,,365,True,https://www.ebl.lmu.de/dictionary?word=ālu
lexicon,iš-tù,ištu,ištu,word,,347,True,https://www.ebl.lmu.de/dictionary?word=ištu
lexicon,iš-tù,ištu,ištu,word,,347,True,https://www.ebl.lmu.de/dictionary?word=ištu
logogram,IM,IM,IM,logogram,clay/tablet,342,True,
logogram,EN.,EN.,EN.,logogram,,323,True,
lexicon,a-lá-ḫi-im,Al-aḫim,Ali-aḫu,PN,,323,True,https://www.ebl.lmu.de/dictionary?word=Ali-aḫu
logogram,ILLAT,ILLAT,ILLAT,logogram,,316,True,
lexicon,ma-lá,mala,mala,word,,296,True,https://www.ebl.lmu.de/dictionary?word=mala
lexicon,ma-lá,mala,mala,word,,296,True,https://www.ebl.lmu.de/dictionary?word=mala
lexicon,ma-lá,Malā,Malā,PN,,296,True,https://www.ebl.lmu.de/dictionary?word=Malā
lexicon,ma-lá,malā,malā'u,word,,296,True,https://www.ebl.lmu.de/dictionary?word=malā'u
lexicon,ma-lá,mala,mala,word,,296,True,https://www.ebl.lmu.de/dictionary?word=mala
lexicon,a-ta,atta,attā,word,,294,True,https://www.ebl.lmu.de/dictionary?word=attā
lexicon,a-ta,Adā,Attā,PN,,294,True,https://www.ebl.lmu.de/dictionary?word=Attā
lexicon,mì-ma,mimma,mimma,word,,293,True,https://www.ebl.lmu.de/dictionary?word=mimma
logogram,MAR.TU,MAR.TU,MAR.TU,logogram,,291,True,
lexicon,ší-im,ši'im,šīmu,word,,274,True,https://www.ebl.lmu.de/dictionary?word=šīmu
lexicon,a-dí,addi,nadā'u,word,,266,True,https://www.ebl.lmu.de/dictionary?word=nadā'u
lexicon,a-dí,adi,adi,word,,266,True,https://www.ebl.lmu.de/dictionary?word=adi
lexicon,a-dí,adi,adi,word,,266,True,https://www.ebl.lmu.de/dictionary?word=adi
lexicon,ṭup-pá-am,ṭuppam,ṭuppu,word,,264,True,https://www.ebl.lmu.de/dictionary?word=ṭuppu
lexicon,É,bētum,bētu,word,,247,True,https://www.ebl.lmu.de/dictionary?word=bētu
lexicon,É,bētam,bētu,word,,247,True,https://www.ebl.lmu.de/dictionary?word=bētu
lexicon,É,bētem,bētu,word,,247,True,https://www.ebl.lmu.de/dictionary?word=bētu
lexicon,É,bēt,bētu,word,,247,True,https://www.ebl.lmu.de/dictionary?word=bētu
lexicon,TÚG,ṣubātem,ṣubātu,word,,244,True,https://www.ebl.lmu.de/dictionary?word=ṣubātu
lexicon,TÚG,ṣubātam,ṣubātu,word,,244,True,https://www.ebl.lmu.de/dictionary?word=ṣubātu
lexicon,TÚG,ṣubātē,ṣubātu,word,,244,True,https://www.ebl.lmu.de/dictionary?word=ṣubātu
lexicon,TÚG,ṣubātē,ṣubātu,word,,244,True,https://www.ebl.lmu.de/dictionary?word=ṣubātu
lexicon,TÚG,ṣubātū,ṣubātu,word,,244,True,https://www.ebl.lmu.de/dictionary?word=ṣubātu
lexicon,TÚG,ṣubātēn,ṣubātu,word,,244,True,https://www.ebl.lmu.de/dictionary?word=ṣubātu
lexicon,TÚG,TÚG,ṣubātu,word,,244,True,https://www.ebl.lmu.de/dictionary?word=ṣubātu
lexicon,TÚG,ṣubātum,ṣubātu,word,,244,True,https://www.ebl.lmu.de/dictionary?word=ṣubātu
lexicon,TÚG,ṣubātān,ṣubātu,word,,244,True,https://www.ebl.lmu.de/dictionary?word=ṣubātu
logogram,NINDA,NINDA,NINDA,logogram,,243,True,
lexicon,SIG₅,damqum,damqu,word,,243,True,https://www.ebl.lmu.de/dictionary?word=damqu
lexicon,SIG₅,Damqāya,Damqā,PN,,243,True,https://www.ebl.lmu.de/dictionary?word=Damqā
lexicon,SIG₅,dammuqem,dammuqu,word,,243,True,https://www.ebl.lmu.de/dictionary?word=dammuqu
lexicon,SIG₅,damiq,damqu,word,,243,True,https://www.ebl.lmu.de/dictionary?word=damqu
lexicon,SIG₅,damiqtam,damiqtu,word,,243,True,https://www.ebl.lmu.de/dictionary?word=damiqtu
lexicon,SIG₅,damqēn,damqu,word,,243,True,https://www.ebl.lmu.de/dictionary?word=damqu
lexicon,SIG₅,damqū,damqu,word,,243,True,https://www.ebl.lmu.de/dictionary?word=damqu
lexicon,SIG₅,damiq,damqu,word,,243,True,https://www.ebl.lmu.de/dictionary?word=damqu
lexicon,SIG₅,damqā,damqu,word,,243,True,https://www.ebl.lmu.de/dictionary?word=damqu
lexicon,SIG₅,damqūtum,damqu,word,,243,True,https://www.ebl.lmu.de/dictionary?word=damqu
lexicon,SIG₅,damqam,damqu,word,,243,True,https://www.ebl.lmu.de/dictionary?word=damqu
lexicon,SIG₅,damqem,damqu,word,,243,True,https://www.ebl.lmu.de/dictionary?word=damqu
lexicon,SIG₅,dammuqam,dammuqu,word,,243,True,https://www.ebl.lmu.de/dictionary?word=dammuqu
lexicon,SIG₅,damqān,damqu,word,,243,True,https://www.ebl.lmu.de/dictionary?word=damqu
lexicon,SIG₅,damiqtem,damiqtu,word,,243,True,https://www.ebl.lmu.de/dictionary?word=damiqtu
lexicon,SIG₅,damiqtam,damqu,word,,243,True,https://www.ebl.lmu.de/dictionary?word=damqu
lexicon,SIG₅,damqūtem,damqu,word,,243,True,https://www.ebl.lmu.de/dictionary?word=damqu
lexicon,SIG₅,Damqem,Damqu,PN,,243,True,https://www.ebl.lmu.de/dictionary?word=Damqu
lexicon,SIG₅,Damqum,Damqu,PN,,243,True,https://www.ebl.lmu.de/dictionary?word=Damqu
lexicon,SIG₅,damqat,damqu,word,,243,True,https://www.ebl.lmu.de/dictionary?word=damqu
logogram,LUGAL,LUGAL,LUGAL,logogram,king,228,True,
lexicon,ṣa-ru-pá-am,ṣarrupam,ṣarrupu,word,,222,True,https://www.ebl.lmu.de/dictionary?word=ṣarrupu
lexicon,en-um-A-šur,Ennum-Aššur,Ennam-Aššur,PN,,215,True,https://www.ebl.lmu.de/dictionary?word=Ennam-Aššur
lexicon,en-um-a-šur,Ennum-Aššur,Ennam-Aššur,PN,,215,True,https://www.ebl.lmu.de/dictionary?word=Ennam-Aššur
lexicon,KI,ište,ište,word,,204,True,https://www.ebl.lmu.de/dictionary?word=ište
lexicon,ki,kī(ma),kīma,word,,204,True,https://www.ebl.lmu.de/dictionary?word=kīma
lexicon,qí-bi₄-ma,qibima,qabā'u,word,,202,True,https://www.ebl.lmu.de/dictionary?word=qabā'u
lexicon,GÍN.TA,šiqlam,šiqlu,word,,185,True,https://www.ebl.lmu.de/dictionary?word=šiqlu
lexicon,GÍN.TA,šiqlem,šiqlu,word,,185,True,https://www.ebl.lmu.de/dictionary?word=šiqlu
lexicon,GÍN.TA,šiqil,šiqlu,word,,185,True,https://www.ebl.lmu.de/dictionary?word=šiqlu
lexicon,GÍN.TA,šiqlum,šiqlu,word,,185,True,https://www.ebl.lmu.de/dictionary?word=šiqlu
lexicon,GÍN.TA,šiqil,šiqlu,word,,185,True,https://www.ebl.lmu.de/dictionary?word=šiqlu
lexicon,ITU.KAM,warḫem,warḫu,word,,182,True,https://www.ebl.lmu.de/dictionary?word=warḫu
lexicon,ITU.KAM,warḫē,warḫu,word,,182,True,https://www.ebl.lmu.de/dictionary?word=warḫu
lexicon,ITU.KAM,warḫam,warḫu,word,,182,True,https://www.ebl.lmu.de/dictionary?word=warḫu
lexicon,ITU.KAM,warḫum,warḫu,word,,182,True,https://www.ebl.lmu.de/dictionary?word=warḫu
lexicon,a-ma-kam,ammākam,ammāka,word,,182,True,https://www.ebl.lmu.de/dictionary?word=ammāka
lexicon,ITU.KAM,warḫēn,warḫu,word,,182,True,https://www.ebl.lmu.de/dictionary?word=warḫu
lexicon,ITU.KAM,warḫān,warḫu,word,,182,True,https://www.ebl.lmu.de/dictionary?word=warḫu
lexicon,ITU.KAM,warḫū,warḫu,word,,182,True,https://www.ebl.lmu.de/dictionary?word=warḫu
lexicon,ITU.KAM,waraḫ,warḫu,word,,182,True,https://www.ebl.lmu.de/dictionary?word=warḫu
lexicon,a-nim,anniem,anniu,word,,181,True,https://www.ebl.lmu.de/dictionary?word=anniu
lexicon,a-NIM,anniem,anniu,word,,181,True,https://www.ebl.lmu.de/dictionary?word=anniu
lexicon,i-ṣé-er,iṣṣēr,iṣṣēr,word,,180,True,https://www.ebl.lmu.de/dictionary?word=iṣṣēr
lexicon,kà-ri-im,kārem,kāru,word,,178,True,https://www.ebl.lmu.de/dictionary?word=kāru
lexicon,a-dí-in,addin,tadānu,word,,178,True,https://www.ebl.lmu.de/dictionary?word=tadānu
lexicon,a-dí-in,Adin,Adin,PN,,178,True,https://www.ebl.lmu.de/dictionary?word=Adin
lexicon,TÚG.ḪI.A,ṣubātē,ṣubātu,word,,176,True,https://www.ebl.lmu.de/dictionary?word=ṣubātu
lexicon,TÚG.ḪI.A,ṣubātūa,ṣubātu,word,,176,True,https://www.ebl.lmu.de/dictionary?word=ṣubātu
lexicon,TÚG.ḪI.A,ṣubātū,ṣubātu,word,,176,True,https://www.ebl.lmu.de/dictionary?word=ṣubātu
lexicon,TÚG.ḪI.A,ṣubātem,ṣubātu,word,,176,True,https://www.ebl.lmu.de/dictionary?word=ṣubātu
lexicon,a-na-kam,annākam,annāka,word,,175,True,https://www.ebl.lmu.de/dictionary?word=annāka
lexicon,ú-lá,ula,ula,word,,172,True,https://www.ebl.lmu.de/dictionary?word=ula
lexicon,ú-lá,ūla,ūla,word,,172,True,https://www.ebl.lmu.de/dictionary?word=ūla
lexicon,šu-IŠTAR,Šu-Ištar,Šu-Ištar,PN,,167,True,https://www.ebl.lmu.de/dictionary?word=Šu-Ištar
lexicon,a-ḫa-ma,aḫamma,aḫamma,word,,164,True,https://www.ebl.lmu.de/dictionary?word=aḫamma
lexicon,a-na-ku,anāku,anāku,word,,164,True,https://www.ebl.lmu.de/dictionary?word=anāku
lexicon,il₅-qé,ilqe,laqā'u,word,,157,True,https://www.ebl.lmu.de/dictionary?word=laqā'u
logogram,DAM,DAM,DAM,logogram,wife/spouse,155,True,
lexicon,i-ša-qal,išaqqal,šaqālu,word,,155,True,https://www.ebl.lmu.de/dictionary?word=šaqālu
lexicon,a-wa-tim,awâtem,awātu,word,,153,True,https://www.ebl.lmu.de/dictionary?word=awātu
logogram,GIG,GIG,GIG,logogram,,153,True,
lexicon,ku-nu-ki-a,kunukkēa,kunukku,word,,152,True,https://www.ebl.lmu.de/dictionary?word=kunukku
lexicon,ku-nu-ki-a,kunukkīa,kunukku,word,,152,True,https://www.ebl.lmu.de/dictionary?word=kunukku
lexicon,i-šu,īšu,išā'u,word,,151,True,https://www.ebl.lmu.de/dictionary?word=išā'u
lexicon,a-mur-IŠTAR,Amur-Ištar,Amur-Ištar,PN,,151,True,https://www.ebl.lmu.de/dictionary?word=Amur-Ištar
lexicon,a-tù-nu,attunu,attunu,word,,150,True,https://www.ebl.lmu.de/dictionary?word=attunu
lexicon,en-na-sú-in,Enna-Suen,Ennam-Suen,PN,,148,True,https://www.ebl.lmu.de/dictionary?word=Ennam-Suen
logogram,NIN.,NIN.,NIN.,logogram,,142,True,
lexicon,en-um-a-šùr,Ennum-Aššur,Ennam-Aššur,PN,,141,True,https://www.ebl.lmu.de/dictionary?word=Ennam-Aššur
lexicon,li-mu-um,līmum,līmu,word,,140,True,https://www.ebl.lmu.de/dictionary?word=līmu
lexicon,e-lá-ma,Elamma,Elamma,PN,,139,True,https://www.ebl.lmu.de/dictionary?word=Elamma
lexicon,kà-ru-um,kārum,kāru,word,,135,True,https://www.ebl.lmu.de/dictionary?word=kāru
lexicon,ša-lim-a-šùr,Šalim-Aššur,Šalim-Aššur,PN,,133,True,https://www.ebl.lmu.de/dictionary?word=Šalim-Aššur
lexicon,en-nam-a-šur,Ennam-Aššur,Ennam-Aššur,PN,,132,True,https://www.ebl.lmu.de/dictionary?word=Ennam-Aššur
lexicon,EN-nam-a-šur,Ennam-Aššur,Ennam-Aššur,PN,,132,True,https://www.ebl.lmu.de/dictionary?word=Ennam-Aššur
logogram,DUB.SAR,DUB.SAR,DUB.SAR,logogram,,132,True,
lexicon,en-nam-A-šur,Ennam-Aššur,Ennam-Aššur,PN,,132,True,https://www.ebl.lmu.de/dictionary?word=Ennam-Aššur
lexicon,šu-ut-ma,šūtma,šūt,word,,131,True,https://www.ebl.lmu.de/dictionary?word=šūt
lexicon,ŠÀ.BA,qerbemma,qerbum,word,,126,True,https://www.ebl.lmu.de/dictionary?word=qerbum
lexicon,ŠÀ.BA,ina qerbemma,qerbum,word,,126,True,https://www.ebl.lmu.de/dictionary?word=qerbum
lexicon,ŠÀ.BA,ina qerbem,qerbum,word,,126,True,https://www.ebl.lmu.de/dictionary?word=qerbum
lexicon,a-ḫi,aḫi,aḫu,word,,122,True,https://www.ebl.lmu.de/dictionary?word=aḫu
lexicon,a-ḫi,aḫī,aḫu,word,,122,True,https://www.ebl.lmu.de/dictionary?word=aḫu
lexicon,ANŠE,emārem,emāru,word,,120,True,https://www.ebl.lmu.de/dictionary?word=emāru
lexicon,ANŠE,emārē,emāru,word,,120,True,https://www.ebl.lmu.de/dictionary?word=emāru
lexicon,ANŠE,emārū,emāru,word,,120,True,https://www.ebl.lmu.de/dictionary?word=emāru
lexicon,ANŠE,emāram,emāru,word,,120,True,https://www.ebl.lmu.de/dictionary?word=emāru
lexicon,ANŠE,emārum,emāru,word,,120,True,https://www.ebl.lmu.de/dictionary?word=emāru
lexicon,ANŠE,emārēn,emāru,word,,120,True,https://www.ebl.lmu.de/dictionary?word=emāru
logogram,ZU,ZU,ZU,logogram,to know,119,True,
lexicon,kà-ni-iš,Kaneš,Kaneš,GN,,118,True,https://www.ebl.lmu.de/dictionary?word=Kaneš
lexicon,DAM.GÀR,tamkārem,tamkāru,word,,116,True,https://www.ebl.lmu.de/dictionary?word=tamkāru
lexicon,ṭup-pu-um,ṭuppum,ṭuppu,word,,116,True,https://www.ebl.lmu.de/dictionary?word=ṭuppu
lexicon,DAM.GÀR,tamkār,tamkāru,word,,116,True,https://www.ebl.lmu.de/dictionary?word=tamkāru
lexicon,DAM.GÀR,tamkāram,tamkāru,word,,116,True,https://www.ebl.lmu.de/dictionary?word=tamkāru
lexicon,DAM.GÀR,tamkārum,tamkāru,word,,116,True,https://www.ebl.lmu.de/dictionary?word=tamkāru
lexicon,DAM.GÀR,tamkārē,tamkāru,word,,116,True,https://www.ebl.lmu.de/dictionary?word=tamkāru
lexicon,a-šu-mì,aššumi,aššumi,word,,115,True,https://www.ebl.lmu.de/dictionary?word=aššumi
lexicon,a-šu-mì,aššumi,aššumi,word,,115,True,https://www.ebl.lmu.de/dictionary?word=aššumi
lexicon,ni-dí-in,niddin,tadānu,word,,113,True,https://www.ebl.lmu.de/dictionary?word=tadānu
lexicon,a-šur-ma-lik,Aššur-mālik,Aššur-mālik,PN,,113,True,https://www.ebl.lmu.de/dictionary?word=Aššur-mālik
logogram,BI,BI,BI,logogram,,112,True,
lexicon,KÙ.GI,ḫurāṣam,ḫurāṣu,word,,112,True,https://www.ebl.lmu.de/dictionary?word=ḫurāṣu
lexicon,a-ṣé-er,aṣṣēr,ṣērum,word,,112,True,https://www.ebl.lmu.de/dictionary?word=ṣērum
lexicon,KÙ.GI,ḫurāṣum,ḫurāṣu,word,,112,True,https://www.ebl.lmu.de/dictionary?word=ḫurāṣu
lexicon,KÙ.GI,ḫurāṣem,ḫurāṣu,word,,112,True,https://www.ebl.lmu.de/dictionary?word=ḫurāṣu
lexicon,i-nu-mì,inūmi,inūmi,word,,109,True,https://www.ebl.lmu.de/dictionary?word=inūmi
logogram,DUB,DUB,DUB,logogram,,108,True,
lexicon,GÍR,patrem,patru,word,,105,True,https://www.ebl.lmu.de/dictionary?word=patru
lexicon,GÍR,patrum,patru,word,,105,True,https://www.ebl.lmu.de/dictionary?word=patru
lexicon,GÍR,patrī,patru,word,,105,True,https://www.ebl.lmu.de/dictionary?word=patru
lexicon,GÍR,patram,patru,word,,105,True,https://www.ebl.lmu.de/dictionary?word=patru
lexicon,GÍR,patar,patru,word,,105,True,https://www.ebl.lmu.de/dictionary?word=patru
lexicon,GÍR,patrū,patru,word,,105,True,https://www.ebl.lmu.de/dictionary?word=patru
lexicon,ú-ṣa-áb,uṣṣab,waṣābu,word,,104,True,https://www.ebl.lmu.de/dictionary?word=waṣābu
lexicon,i-a-tí,iāti,anāku,word,,103,True,https://www.ebl.lmu.de/dictionary?word=anāku
lexicon,ṣí-ib-tám,ṣibtam,ṣibtum,word,,103,True,https://www.ebl.lmu.de/dictionary?word=ṣibtum
lexicon,li-bi,libbī,libbu,word,,101,True,https://www.ebl.lmu.de/dictionary?word=libbu
lexicon,li-bi,libbi,libbu,word,,101,True,https://www.ebl.lmu.de/dictionary?word=libbu
logogram,IR,IR,IR,logogram,,98,True,
lexicon,a-ni-a-tim,anniātem,anniu,word,,97,True,https://www.ebl.lmu.de/dictionary?word=anniu
lexicon,ŠU.NÍGIN,ištēniš,ištēniš,word,,97,True,https://www.ebl.lmu.de/dictionary?word=ištēniš
lexicon,ḫu-bu-ul,ḫubul,ḫubullu,word,,95,True,https://www.ebl.lmu.de/dictionary?word=ḫubullu
lexicon,ší-tí,šîttē,šîttu,word,,95,True,https://www.ebl.lmu.de/dictionary?word=šîttu
lexicon,li-bi₄,libbī,libbu,word,,95,True,https://www.ebl.lmu.de/dictionary?word=libbu
lexicon,ší-tí,šîtti,šîttu,word,,95,True,https://www.ebl.lmu.de/dictionary?word=šîttu
lexicon,li-bi₄,libbi,libbu,word,,95,True,https://www.ebl.lmu.de/dictionary?word=libbu
lexicon,ša-lim-a-šur,Šalim-Aššur,Šalim-Aššur,PN,,94,True,https://www.ebl.lmu.de/dictionary?word=Šalim-Aššur
lexicon,i-tur₄-DINGIR,Itūr-ilī,Itūr-ilī,PN,,94,True,https://www.ebl.lmu.de/dictionary?word=Itūr-ilī
logogram,DUMU.,DUMU.,DUMU.,logogram,,93,True,
logogram,UDU,UDU,UDU,logogram,sheep,93,True,
lexicon,ME-at,mi'at,mītu,word,,92,True,https://www.ebl.lmu.de/dictionary?word=mītu
lexicon,áš-qúl,ašqul,šaqālu,word,,92,True,https://www.ebl.lmu.de/dictionary?word=šaqālu
lexicon,me-at,mi'at,mītu,word,,92,True,https://www.ebl.lmu.de/dictionary?word=mītu
lexicon,a-na-ku-ma,anākuma,anāku,word,,91,True,https://www.ebl.lmu.de/dictionary?word=anāku
lexicon,lá-qé-ep,Lāqēp,Lā-qēpu,PN,,89,True,https://www.ebl.lmu.de/dictionary?word=Lā-qēpu
lexicon,šál-ma-A-šur,Šalim-Aššur,Šalim-Aššur,PN,,86,True,https://www.ebl.lmu.de/dictionary?word=Šalim-Aššur
lexicon,šál-ma-a-šur,Šalm-Aššur,Šalim-Aššur,PN,,86,True,https://www.ebl.lmu.de/dictionary?word=Šalim-Aššur
lexicon,šál-ma-A-šur,Šalm-Aššur,Šalim-Aššur,PN,,86,True,https://www.ebl.lmu.de/dictionary?word=Šalim-Aššur
lexicon,šál-ma-A-šur,Šalmaššur,Šalim-Aššur,PN,,86,True,https://www.ebl.lmu.de/dictionary?word=Šalim-Aššur
lexicon,en-na-nim,Ennānim,Ennānu,PN,,85,True,https://www.ebl.lmu.de/dictionary?word=Ennānu
lexicon,a-lá-ḫu-um,Al-aḫum,Ali-aḫu,PN,,84,True,https://www.ebl.lmu.de/dictionary?word=Ali-aḫu
lexicon,a-ta-ma,atamma,tamā'u,word,,82,True,https://www.ebl.lmu.de/dictionary?word=tamā'u
lexicon,a-šur,Aššur,Aššur,PN,,82,True,https://www.ebl.lmu.de/dictionary?word=Aššur
lexicon,a-ta-ma,attāma,attā,word,,82,True,https://www.ebl.lmu.de/dictionary?word=attā
lexicon,a-šur,Aššur,Assur,GN,,82,True,https://www.ebl.lmu.de/dictionary?word=Assur
lexicon,i-dí-a-bi-im,Iddin-abim,Iddin-abu,PN,,81,True,https://www.ebl.lmu.de/dictionary?word=Iddin-abu
