oa,english
"qí-bi4-ma i-UTU-ší ṭup-pi-ni ta-ša-me-a-<ni> GÍR ša A-šur [IGI] Ku-li-a ší-ip-ri-ni šé-ṣí-a-ma: ma-ma-an a-ma-kam KÙ.AN na-áš-ú lu a-na ší-mi-im a-na É.GAL-lim i-dí-nu lu [a-dí]-ni lá i-dí-in-ma: na-ší: 10-tim ša KÙ.AN ú ša-du-a-sú 1 ma-na-um 3 GÍN KÙ.B. ša-ás-qí-lá-ma","""As soon as you hear our letter, produce the dagger of Assur in the presence of our messenger Kuliya and whoever over there carries meteoric iron, whether he has already sold it to a palace or has not yet sold it and still carries it, make him pay the tithe on the meteoric iron and his šaddu2utu-tax of 3 shekels of silver per mina."
"Ku-li-a: i-pá-ni-šu<<-nu>> lu-ub-lam","Let Kuliya personally(!) bring it here."
"šu-ma i-qá-bi4 um-ma šu-ut-ma KÙ.AN ša a-wi-lim ša NÌ.KA-sí 10-tim ú ša-[du-a]-sú le-qé-a-ma ša ba-ri-n[i] li-li-kam-ma [G]ÍR ša A-[šur l]i-it-ma-ma ša-du-a-sú nu-ta-ar","If one protests and declares: 'The meteoric iron belongs to a man with an account', still take the tithe and his šaddu2utu-tax and let somebody who is one of us come here to swear an oath by Aššur's dagger then we will give his šaddu2utu-tax back."
"ni-ša-me-ma 30 ANŠE Tù-i-mu-um DUMU A-[šur] ha-ra-an sú-qí-nim ú-š[é-ri-b]a-am","We hear that an Assyrian, Tū2imum, has brought in 30 donkeys by way of the sukinnu-road."
"lá Tù-i-mu-um: ma-ma-[an] ha-ra-an sú-ki-nim e-ma-r[e] sé-er-dam ú-šé-ri-ba-ni-ma a-ma-kam uš-té-bu-lu-ni lu wa-ší-ib kà-ri-im ú-šé-li-am: GÍR ša A-šur šé-ṣí-a-ma: a-hu-um pá-ni a-hi-im: ú-lá ú-ba-al","Not just Tū2imum, but anybody who has brought in a loaded donkey by way of the sukinnu-road in order to do business there, or if an inhabitant of a kārum has brought up (goods) - produce the dagger of Aššur and people shall not spare each other!"
"1 ma-na-um 3 GÍN KÙ.B. ša-du-[a-sú] ṣa-áb-[ta-m]a","Charge everyone his šaddu2utu-tax at a rate of 3 shekels of silver per mina."
"KÙ.B. [ša]-áš-qí-lá-šu-[ma] Ku-li-a i-pá-ni-šu-<<nu>> li-ni-iš-a-am","and make him pay the silver and let Kuliya personally bring it here."
"šu-ma i-qá-be um-ma šu-ut-ma a-lá-ak-ma i-kà-ri-im Kà-ni-iš a-za-ku: KÙ.B. ša-áš-qí-lá-šu-ma war-kà-tám li-li-kam-ma iš-tí-ni li-iz-ku","If somebody protests, saying: 'I will go to clear myself in kārum Kanesh', (still) make him pay the silver and let him come here afterwards in order to clear accounts with us."
"i2-da-ma Ku-li-a ší-par-ni lá i-sa-hu-ur","Take care that our messenger Kuliya is not delayed."
"KÙ.B. ša-áš-qí-lá a-ni-ša-am a-na na-pá-ší-im lá tù-ša-ra","Make people pay the silver, don't allow them to make trouble there!"
"um-ma kà-ru-um Kà-ni-iš-ma a-na <kà-ar> kà-ar-ma ú wa-bar-ra-tim a-dí Tù-ùh-pí-a qí-bi-ma Ku-li-a ší-pár-ni: a-na ta-2i-tim ša-pí-ir 2-ší-na","Thus kārum Kanesh, say to <every single> colony and the trading stations until Tuhpiya as follows: ""Kuliya, our messenger, has been sent to transmit instructions."
"mu-qá-ri-bé dí-na-šu-ma kà-ru-um a-na kà-ri-im li-ip-qí-sú","Give him two escorts and (thus) (each) colony must convey him to the (next) colony."
"lá tù-ša-as-ha-ra-šu","Do not cause him a delay!"
"ša i-na mu-qá-ri-be ta-bi-ra šu-ma a-lá-kam iš-tí Ku-li-a lá i-mu-ú kà-sí-a-šu-ma šé-ri-a-ni-šu","If among the escorts you have chosen somebody refuses to accompany Kuliya, bind him and have him brought here."""
"um-ma kà-ru-um Kà-ni-iš-ma: a-na Ku-li-a ša-qí-il5 da-[tim] kà-ri-im Té-ga-ra-ma ù a-li I-dí-A-šur DUMU Ku-ku-lá-nim wa-áš-bu-ni","Thus kārum Kanesh, speak to Kuliya, the dātu-payers, kārum Tegarama, and wherever Iddin-Aššur, son of Kukulānum is staying:"
"qí-bi-ma: ni-kà-sí ni-sí-ma 25 ma-na 4 1/4 GÍN da-tám ni-iš-qúl","""We have settled accounts and and we paid 25 minas and 4 1/4 shekels (of silver) as dātum."
"I-dí-A-šur: a-na ni-kà-sí kà-ší-id iš-tù 5 ša-na-tim a-na Wa-ah-šu-ša-na ú *Dur4-hu-mi-it ni-iš-ta*-par-šu-ma* a-di u4-mì-im a-nim i-ta-ba-al-ni-a-tí","Iddin-Aššur is liable for the settlement of accounts. Since five years we keep sending messages to him to Wahšušana and Durhumit, but until this very day he holds us in play."
"a-ma-kam KÙ.B. da-a-sú ša ga-me-er-tim","Make him pay the silver over there his dātum for a full share."
"ša-áš-qí-lá-šu šu-ma i-qá-bi4 um-ma šu-ut-ma a-na ga-me-er-tim lá kà-áš-da-ku ša mi-iš-li ša-áš-qí-lá-šu: šu-ma","If he objects and says: 'I cannot match the full amount', make him pay for half the amount. If he says:"
"um-ma šu-ut-ma: a-na ni-kà-sí a-gi5-me-er-tim ú mi-iš-li lá kà-áš-da-ku","'For the accounting I can match neither the full amount nor half of it',"
"GÍR ša A-šur ta-mì-a-šu 40 ma-na KÙ.B. lá ma-ṣú-ni 30 ma-na KÙ.B. lá kà-áš-du-ni 20 ma-na KÙ.B. ša mì-iš-li-šu lá i-šu-ú-ni KÙ.B.","make him swear by Aššur's dagger that he has not enough for 40 minas of silver, that 30 minas of silver are too much for him, that he does not even have 20 minas of silver, half his due, that neither silver of himself,"
"lu ša ra-mi-ni-šu lu ša um-mì-a-ni-[šu] ša a-lim lu ša GÁN-lam5 wa-áš-bu KÙ.B.: ma-lá na-áš-a-ku-ni lu wa-ar-ki-a e-zi-ib lu a-na pá-ni-a ú-šé-bi4-il5 a-na ni-kà-sí a-na ga-me-er-tim ú mì-iš-li lá [kà-áš-da-ku-ni","nor of his investors in the City nor of those who live in Anatolia, <that> 'with whatever I carry with me or have left behind or have sent ahead, that for the accounting, I cannot match either a full share or a half-share'."
"GÍR ta-mi-a-šu-ma ú ša-du-a-sú IGI GÍR li-iz-ku-ur-ma e-ša-du-a-tim ša [i-za-ku-ru mì-ma ša-du-a-tám DIRIG-tám lá i-šu-ú [ša-du-a-sú le-qé-a","Then make him swear by the dagger and let him state before the dagger his šaddu2utu-tax, and that he does not owe any additional šaddu2utu-taxes apart from the one he states under oath. Take the šaddu2utum he owes""."
"1 1/2 ma-na KÙ.B. iš-ra-tim Pu-šu-ki-in DUMU Bu-za-zu i-na Ku-bu-ur-na-at nu-ša-dí-in-ma ŠÀ.BA 1 ma-na KÙ.B. Šu-Sú-in DUMU Ab-lá-ma-sí ú A-šur-i-dí DUMU A-da-da","One and a half mina of silver, the tithe, we collected from Pušu-ken, son of Buzāzu, in Kuburnat, and 1 mina of silver thereof Šu-Suen, son of Abī-lamassī, and Aššur-idī, son of Adada,"
"ku-nu-ki ša wa-bar-tim ú ku-nu-ki-a a-na kà-ri-im i-ni-iš-ú 1/2 ma-na KÙ.B. i-na Tù-úh-pí-a A-šur-ma-lik DUMU Ku-ra-ra e-pu-ul a-na kà-ri-im i-ša-qal","are bringing to the kārum under the seal of the wabartum and my seal. For 1/2 mina of silver Aššur-mālik, Kurara' son, gave his promise in Tuhpiya, he will pay to the kārum."
"15 GÍN KÙ.B. DUMU A-lu-lá-a i-na Ha-na-ak-na-ak nu-ša-dí-ma ku-nu-ki-ni Li-ba-a ù Ku-bi-a i-ni-iš-ú","Fifteen shekels of silver we collected from Alulaya's son in Hanaknak and under our seals Libaya and Kubiya are bringing it."
"1/3 ma-na KÙ.B. ša-du-a-tám Ni-mar-[Sú-in DUMU Da-dí-a i-na Du-ur-hu-mi-it","One third mina of silver, šaddu2utu-tax, we levied from Nimar-Suen, son of Dadiya, in Durhumit."
"nu-ša-dí 1 1/2 GÍN KÙ.AN iš-ra-tim [Šu-ma-bi4-a DUMU A-šur-e-li-tí nu-ša-dí-ma ku-nu-ke-e ša kà-ri-im Du-ur-hu-mi-it i-na Ší-na-hu-tim IGI wa-bar-tim a-na Šu-A-nim DUMU Me-na-nim ù Ma-num-ki-IŠKUR [áp-qí-id-ma a-na kà-ri-im i-ni-iš-ú","1 1/2 shekel of meteoric iron, the tithe, we levied from Šumi-abia, son of Aššur-ellitī, and under the seals of kārum Durhumit I entrusted it in Šīnahuttum before the wabartum to Šu-Anum, son of Menānum, and Mannum-kī-Adad, who are bringing it to the kārum."
"10 GÍN KÙ.B. ša-du-a-tám Bu-ṣí-a ša Ku-bu-ur-na-at i-na Tù-ùh-pí-a nu-ša-dí-ma ku-nu-ki-ni EN.LÍL-ba-ni DUB.SAR a-na kà-ri-im i-ni-ší-i","Ten shekels of silver, šaddu2utu-tax, we levied from Buṣia of Kuburnat in Tuhpiya and under our seals Enlil-bāni, the scribe, is bringing it to the kārum."
"1/2 ma-na [K]Ù.B. ša-du-a-tám ṣú-ha-re-e [ša Ma-num-b]a-lúm-A-šur DUMU Ku-ku-a [nu-ša-dí <gap> K]Ù.B. ša-du-a-tám [ ]-A-šur [ ]i-na [ ] ku-nu-ki-ni a-na kà-r]i-im","Half a mina of silver, šaddu2utu-tax, we levied from the servants of Mannum-balum-Aššur, son of Kukua. silver, šaddu2utu-tax, we levied from -Aššur son of and in we entrusted it to PN and under our seals he is bringing it to the kārum."
"[ i]-na Tí-iš-mur(BUR)-na [ ]-ba-ni ] DUMU A-ni-na [ ] ša DUMU Ha-na-na","silver in Tišmurna we levied from -bani, and to the son of Anina we entrusted it of the son of Hanana"
"<gap> GÍN KÙ.B. ma-as-hu-ru-tum [<gap>] ni iš-tí A-šur-ba-ni ù Šé-er-ṣé-ri-im al-qé-ma i-na Du-ur-hu-mi-it a-na Ìštar-pí-lá-ah ta-ar-gu-me-a-nim a-na 16 GÍN KÙ.B. ni-dí-šu-nu-ma ku-nu-ki ša kà-ri-im na-áš-a-ku","<gap> shekels of silver, <gap> I took from Aššur-bāni and Šerṣerum and in Durhumit I sold them to Ištar-pilah, the interpretor, for 16 shekels of silver which I am carrying with me under the seals of the kārum."
"3 GÍN KÙ.B. DUMU A-šur-[ták-lá-ku DUMU A-lá-hi-im nu-ša-dí-ma i-nu-mì [Ha-tù-ša-i-um ru-ba-um a-na Wa-aš-ha-ni-a ù Ba-ni-ha-ar-sí-im [na] <gap>","Three shekels of silver we levied from Aššur-taklāku, son of Alahum and when the ruler of Hattuš to Wašhaniya and to Baniharsum <gap> <gap>"
"ku-ta-nam a-na [ ] a-ší-im TÚG [ ] IŠKUR-ba-ni [ ] i-na Ha-t[ù-uš ]","a kutānu-textile for as payment for the textile Adad-bāni in Hattuš"
"a-na A-šur-DÙG qí-bí-ma um-ma Ku-li-a-ma a-na ma-lá té-er-tí-kà a-wa-tám ša A-na-ah-i-lí DUMU DÙG-ší-lá-A-šur a-na-ku A-šur-ma-lik DUMU Ku-ra-ra ù Šu-Bé-lum DUMU Pu-qí-dí a-na 1 ma-na KÙ.B. a-wa-sú ni-ig-mur-ma 1 ma-na KÙ.B. a-šu-mì A-na-ah-ì-lí a-na-ku a-pu-ul","To Aššur-ṭāb, thus says Kuliya: ""In accordance with your instruction we, I myself, Aššur-mālik, son of Kurara, and Šū-Bēlum, son of Puqidi, have settled the affair of Anah-ilī, son of Ṭāb-ṣilli-Aššur, for 1 mina of silver and I myself guaranteed 1 mina of silver in Anah-ilī's name."
"ṭup-pá-am ša ku-nu-ki-kà ša a-na <<ša a-na>> 1 1/3 ma-na KÙ.B. a-na A!-na-ah-i-lí ša ṭup-pi-šu lá ta-tù-ru-ú-ni ta-dí-nam","You gave me a tablet with your seal stating that you would not come back on Anah-ilī for the 1 1/3 mina of silver of his debt-note."
"šu-ma ṭup-pá-am ša ku-nu-ki-kà A-na-ah-i-lí lá im-ta-ah-ra-ni","Should Anah-ilī not receive from me the tablet with your seal,"
"1 ma-na KÙ.B. a-na a-lim a-na A-bu-ša-lim a-bi-kà ú-šé-ba-al-ma i-na SAG","then I will send to the City, to your father Abu-šalim,"
"KÙ.B. ṭup-pá-am ša ku-nu-ki-šu A-bu-ša-lim a-na ša ki-ma i-a-tí ú ša ki-ma A-na-ah-i-lí ša a-na 1 1/3 ma-na KÙ.B. ša ṭup-pi-šu ha-ar-mì-im a-na A-na-ah-i-lí lá i-tù-ru-ú","1 mina of silver and as soon as he receives that silver Abu-šalim will give to my and Anah-ilī's representatives a tablet with his seal stating that he will not come back on Anah-ilī for the 1 1/3 mina of silver recorded in his validated tablet."
"i-da-an-ma ú ṭup-pá-am ša ku-nu-ki-kà ú-ta-ra-kum-ma ú na-áš-pè-er-tí a-ni-tum i-mu-a-at","And then I will give you back the tablet with your seal and this letter will be cancelled."
"a-na [I-dí-Ku]-bi-im A-na-ah-ì-lí ú Puzur2-A-šur a-na A-na-ah-i-lí qí-bi-ma um-ma Ku-li-a-ma","To Iddin-Kūbum, Anah-ilī, and Puzur-Aššur, especially to Anah-ilī, thus says Kuliya:"
"1 1/3 ma-na ú ṣí-ba-tí-šu KÙ.B. a-na A-bu-ša-lim DUMU En-na-Sú-in ha-bu-lá-tí-ma: na-áš-pé-er-tum ša A-šur-DÙG i-li-kam-ma a-na 1 ma-na KÙ.B. a-wa-at-kà i-gi5-mì-ir: KÙ.B. šu-a-tí-i a-na-ku a-pu-ul a-ha-ma","""You owe to Abu-šalim, son of Ennam-Suen, 1 1/3 mina of silver plus its accumulated interest. A letter of Aššur-ṭāb arrived here and for an amount of 1 mina of silver your affair has been settled. I myself have guaranteed that amount of silver."
"1/3 ma-na KÙ.B. ba-áb DINGIR [a-na a-bi4-ni","Moreover, you have assigned 1/3 mina of silver to our father in the Gate of the god."
"ta-dí-i: iš-té-ni-iš ša 1 1/3 ma-na KÙ.B. ṭup-pá-kà al-pu-ut na-áš-pé-er-tám ša ku-nu-ki-a ša 1 ma-na KÙ.B. tù-kà-a-al ú ša-ni-tám ša 1/3 ma-na KÙ.B. tù-kà-a-al *tág-bi4-a-am","I drew up your tablet for a total of 1 1/3 mina of silver; you have in your possession a letter with my seal (good) for 1 mina of silver and a second (good) for 1/3 mina of silver."
"um-ma a-ta-ma a-li-ik-ma ṭup-pá-am ša ku-nu-uk A-šur-DÙG: li-qí-a-am ṭup-pá-am ša ku-nu-uk A-šur-DÙG al-qé-a-ku: ša a-bu-šu ú šu-ut a-na ku-a-tí ú me-er-i-e-kà lá i-tù-ru-ni a-hi a-ta","You told me as follows: 'Go and obtain for me a tablet sealed by Aššur-ṭāb', and I obtained for you a tablet sealed by Aššur-ṭāb, stating that neither his father nor he himself will come back on you and your sons."
"1 1/3 ma-na KÙ.B. ku-nu-uk-ma a-na Puzur2-A-šur pí-qí-id-ma lu-ub-lam ṭup-pá-am ša ku-nu-uk A-šur-DÙG ú ṭup-pá-am ša 1 1/3 ma-na KÙ.B ša ku-nu-ki-kà šu-up-ra-ma","Please, my brother, put 1 1/3 mina of silver under seal and entrust it to Puzur-Aššur to bring it here. Send me a message then I will give both the tablet sealed by Aššur-ṭāb and the one of 1 1/3 mina of silver with your own seal"
"a-na ša ki-ma ku-a-tí lá-dí-in ú ší-ta na-áš-pé-ra-tí-a: ša ku-nu-ki-a: ša tù-kà-lu lu-šé-ru-nim-ma: li-mu-ta","to your representatives. And then they should release to me the two letters of mine with my seal, which you have in possession, to cancel them."
"a-hi a-ta: KÙ.B. iš-tù MU 2 ŠÈ ta-be-e-el: ú ṣu-ha-re-e-a a-na šé-ri-kà áš-pu-ra-ma KÙ.B. ú-lá tù-šé-bi4-lam ú 6 GÍN KÙ.B. gám-ra-am","My dear brother, it is now two years that you keep this silver at your disposal. Though I sent my servants to you, you did not send me the silver and they caused me expenses of six shekels of silver."
"iš-ku-nu-nim a-hi a-ta KÙ.B. šé-bi4-lam [ú 6 GÍN KÙ.B. ga-ma-ar-šu a-na Puzur2-A-šur dí-in","Please, my brother, send the silver and give the 6 shekels of silver, the expenses he incurred, to Puzur-Aššur."
"i-li-bi4-i-kà li-ib-ší [ša gi5-mì-li","Realize what my favours to you mean!"""
"a-na Ku-li-a qí-bi4-ma um-ma A-ba-ba-a-ma šál-ma-ni ṣu-hu-ur-kà ša-lim ni-šu-kà šál-[m]u","To Kuliya, thus says Ababaya: ""We are well, your youngsters are wel and your people are well."
"ki-ma ku-a-tí i-<gap> a-bi4-kà a-<gap> a-wa-tí-kà <gap> i-ṣé-r[i-a <gap> ma-num: <gap> li-dí-n[am <gap> ša ta-<gap> té-tap-ša-n[i <gap> n[a <gap> lá i-<gap> e tù-kà-<gap>","Like/Instead of you <gap> of your father <gap> your words <gap> on me (?) <gap> Who could give me <gap> <gap> By what you <gap> you have treated me <gap> <gap> <gap> do not <gap>"
"iš-tù na-áš-pè-er-t[a-kà] lá ta-lá-kà-ni","since no letter of yours arrives here."
"mi-nam ša ta-áš-ta-n[a]-pá-r[a-ni] um-ma a-ta-ma ṣú-ba-tí ha-am-ša-at šé-bi4-li-í[m]","What is the purpose of constantly writing me as follows: 'Send me five textiles!'"
"mi-nam ṣú-ha-ar-kà li-ku-ul: mì-nam a-ší-tí-kà lá-áš-qú-ul šu-ma a-na a-bi4-kà lá uš-té-ri-id um-ma šu-u[t]-ma","What should your youngsters eat, what should I (use to) pay for your expenditures if I had not humbled myself for your father."
"ú-ha-lá-qú-nu *GA ša-ni-a-tù i-pi-šu ša-[ak]-na","He said: 'He is destroying you<gap>, he has evil intentions!'"
"me-er-a-at-[kà] iš-tí-a *ta-al-ta-<gap> *wa-áš-ba-at <gap> ša É a-bi4-ni *tim <gap> [*áb e ta-hi-ri-x*","Your daughter is / keeps <gap> with me she lives <gap> of our paternal house <gap> <gap>"
"ta-áp-hi-ra-am a-dí-in-ma GUD aṭ-bu-ùh ší-ru-um ša i-ri-ḫu ša-áp-lá-nu-um i-tab-ku 4 GÚ URUDU ag-mur <gap> ṣú-ùh-","I have sold the savings and slaughtered the ox. The meat which remained they have stored below. I have spent 4 talents of copper <gap>"
"lá i-mu-ut [ur-kà","your youngsters have not died!"""
"a-na Ku-li-a qí-bi-ma um-ma A-ba-ba-a-a-ma","Say to Kuliya, thus says Ababaya:"
"a-na-kam 1 1/3 ma-na KÙ.B. ša a-na mu-lá-e-i ša É Sà-ba-sí-a ni-il5-qé-e-ú: be-el qá-ta-tí-a ša iš-tí-a i-zi-zu-i-ni 5-šu-nu i-na-zu-mu-ú","'Here, as for the 1 1/3 mina of silver which we borrowed to supplement the amount of Sabasiya's house/firm, my guarantors, which assisted me, all five of them, are complaining."
"um-ma šu-nu-ma ṭup-pá-am ša ku-nu-ki-ki dí-ni-ni-a-tí ša KÙ.B. a-na ṣí-it: Ku-li-a i-ší-iq-lu-i-ni KÙ.B. 1 ma-na-um 7 GÍN ni-il5-qé","They say: 'Give us a tablet with your seal to the effect that the silver has been paid for Kuliya's expenses; we have borrowed the silver at an interest of 7 shekels per mina'."
"a-pu-tum 5 GÍN KÙ.B. a-bu-kà: a-šu-ur ù ni-ší-kà 1 GÍN KÙ.B. TA a-šu-ur","Please, provide your father with 5 shekels of silver and each of your folks with one shekel of silver"
"ù ta-zi-ma-tí-ší-na lá áš-ta-na-me-e","and let me no longer hear their complaints!"
"a-pu-tum ša a-wi-lu-tí-kà e-pu-uš a-pu-tum KÙ.B. a-na A-šur-ṣú-lu-li dí-in-ma lu-ub-lam a-na-kam ú-ša-ah-du-ru-ni","Please, act as the gentleman your are! Please, give silver to Aššur-ṣululī to bring it to me. Here they are frightening me""."
"a-na Ku-li-a qí-bi-ma um-ma A-ba-ba-a-ma a-na ma-lá pi-i na-áš-par-t[í-kà p[á-ni-tim","Say to Kuliya, thus says Ababaya: Exactly as your previous letter stated"
"3 ma-na [KÙ.B.] a-na E-na-na-tim a-dí-in [a]-pu-tum mi-nu-um ša a-na E-na-na-at-A-šur KÙ.B. tù-ší-ru-ú","I have given 3 minas of silver to Ennānātum. Please, what is this, that you released silver to Ennānāt-Aššur?"
"a-na lá-ni-šu ta-tí-ki-il5 lá É-tám: lá ša-ra-am [i]-šu ú KÙ.B. tù-ší-ir","You put trust in his outward appearance, but he has neither house nor child and still you released the silver!"
"[a-p]u-tum a-na me-ra u[m-m]ì-a-nim <gap> [<gap> m]a-na-ah-tí [B]ur-Ištar ša-i-il5","Please, to an independent trader <gap> <gap> as for my misery / expenses, ask Būr-Ištar (about it)."
"mi-ma ša a-dí-nu-šu-i-ni a-na A-šur-ṣú-lu-li i-na ṭup-pí-im ša i-is-ku-ri-im","All I gave him for Aššur-ṣululī has been registered on a wax tablet."
"lá-pu-ut a-pu-tum lá ta-ša-lá-aṭ","Please do not act highhandedly."
"ṭup-pá-am ša É Bé-lúm-ba!-ni na-áš-par-ta-kà li-li-kam lu nu-šé-ṣí-šu: a-ha-at-kà a-na a-bi-kà ma-da-tí-ma ta-ta-wu: i-na li-bi a-bi-kà tù-šé-ṣa-kà","As for the tablet of/in the house of Bēlum-bāni - when your letter comes we will obtain its release. Your sister talks a lot to your father and she tries to make him forget you!"
"lá ta-ša-lá-aṭ: mì-ma lá ta-pá-lá-ah e-lá-nu-kà [a-b]u-kà lá i-šu","Do not act highhandedly, you have nothing to fear since your father has nobody but you."
"[a-pu]-tum a-ni-qí ša a-mu-tim <gap> ù KI.DU-ra-am A-šur-ṣú-lu-li <gap> lu-ub-lam","Please, the rings of meteoric iron and the <gap>, let Aššur-ṣululī take them along to bring (them) to me."
"um-ma A-šur-ša-dí-li ù A-ba-ba-a-ma a-na Ku-li-a qí-bi-ma a-šu-mì ṭup-pi-kà","Thus say Aššur-šad-ilī and Ababaya, say to Kuliya: ""As for your tablet"
"ša Šu-Sú-in DUMU I-na-a ú-kà-lu a-na-kam i-nu-mì a-wa-sú-nu i-gi5-im-ru","which Šu-Suen, son of Innāya, has in his possession, when here their affair was concluded"
"i-na ga-me-er a-wa-tí-šu ṭup-pá-kà ú-šu-ru-ni-a-tí-ma ú né-nu ṭup-pá-am ša a-lim ša A-šur-re-ṣí nu-ša-ar","by (decision of) the man who settled his case they would release your tablet to us and then we would release the tablet of the City of/concerning Aššur-rēṣī."
"Šu-Sú-in ṭup-pá-am né-ta-ri-iš-ma um-ma šu-ut-ma a-da-na-ku-um a-wi-lúm i-na lá i-da-i-ni i-ta(LÀ)-al-kam","When we kept asking Šu-Suen for the tablet he said: 'I will give it you', but the man has left without us knowing it!"
"šu-ma a-ma-kam KÙ.B. e-ri-iš-kà lá over erased i ta-da-an um-ma a-ta-ma","If over there he asks you for silver, do not give it. Tell him: 'By decision"
"i-na a-lim i-na ga-me-er a-wa-tim DUB-kà <<i>> ta-da-nam [q]á-bi-a-tí: né-nu a-na-kam","of the man who settled the affair you have been ordered to hand over in the City the tablet you have'. And we here"
