id,akkadian,english,source_ref,letter_num,genre
54a9a1d1-9c34-374d-70b0-a9f9d7cd0e0f,um-ma kà-ru-um kà-ni-ìš-KI-ma a-na kà-ri-im ḫu-ra-ma qí-bi₄-ma a-na-kam a-šur-GAL im-ḫu-ur-ni-a-tí-ma um-ma šu-ut-ma a-šur-la-ma-sí DUMU lá-qé-ep ù-ša-sà-ḫa-am a-na a-wa-at a-šur-la-ma-sí ma-ṣa-ku iš-tí a-šur-GAL a-šur-lá-ma-sí li-sú-ḫa-am a-tù-nu lu e-mu-uq-šu,"\n[Thus (speak)] the kdrum [of Kan]is: say to the kdrum of\nHu[rra]ma.\n5-12Here Ašsur-rabi presented us with the following request: “I want to transfer here Aššur-lamassi, son of Laqep(um). I take responsibility for the Aššur-lamassi affair. »\n12-15 Let Aššur-lamassi be transferred here with Aššur-\nrabi; be its executive power.\n","BIN 6, 32",28,administrative regulation
472a961c-a852-5281-d327-36520bff1277,um-ma kà-ru-um kà-ni-ìš-ma a-na kà-ri-im qí-bi-ma mì-šu ša i-nu-mì ša-du-a-tám ša kà-ri-im kà-ni-ìš tù-ša-da-a-ni ma a-wi-lúm i-qá-bi-ú um-ma šu-ut-ma lu-qú-tum ša DAM.GÀR i-na kà-ni-ìš da-tám i-ša-qal um-ma a-tù-nu-ma šu-mì DAM.GÀR zu-uk-ra mì-ma šu-mì DAM.GÀR be-el lu-qú-tim lá i-za-qar šu-ma <big_gap> a-wi-lúm <big_gap> i-na li-bi₄-ku-nu wa-ṣí-i GÍR ša a-šùr li-it-ma-ma lu-qú-tum lu-<gap> <big_gap> KI il₅-<gap> <big_gap> a-na <gap> <big_gap> <gap> du <big_gap> nu-ša-<gap> <big_gap> DAM.GÀR ša-qí-il₅ da-tim <gap> ga ar <big_gap>,"\nThus (speaks) the kd[rurn] of Kaniš: say to the kârurn of\n[NG]. 4-14Why[is] when you impose the[consignment] tax on the kärurn of Kaniš and the man\nprotests saying: “The goods are those of a merchant; a tamkdrum merchant pays the tax in Kamis"", you (then declared) this: ""Mention the name of the tamkdrum merchant! » ?\nns-2sAn owner of goods does not have to mention the name of the merchant-tamkdrum. If the man is one of yours, let him [take an oath] by the dagger of Assur (that) the merchandise, (is) indeed [that of the merchant-\ntarnkdrurn]. Remember... ] for [... ] we will impose the deposit tax here, and we will mention [the name] of the merchant-tamkdrum, payer of the tax-ddturn.\n","BIN 6, 101",29,administrative regulation
2c6b17db-c343-a62e-fbff-af71eae4c8e7,a-na i-na-a qí-bi-ma um-ma kà-ru-um-ma ki-ma ṭup-pá-am ta-áš-me-ú u₄-ma-kál lá ta-bi₄-a-at tí-ib-a-ma a-tal-kam,"\n[Say] [to] Innâya: thus (speak) the k[dru]rn.\n4—""As soon as [you] have read (this) tablet, do not linger a single day, set out.\n","CCT 6, 2a",32,letter
34c8635e-3def-476b-8814-d6f5f982b447,<gap> ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er a-šùr-bé-el-a-wa-tim PUZUR₄-tí-a-am-tim i-šu iš-tù ḫa-mu-uš-tim ša i-na a-na KÙ.BABBAR i-ša-qal lim-mu-um DINGIR-<big_gap><gap> šu-ma lá iš-qúl 1.5 GÍN.TA i-na ITU.1.KAM a ma-na-em ú-ṣa-áb <big_gap> IGI i-<gap> <gap> IGI a-šur-<gap> <gap>,"\n[Say] to the käru[m of Kaniš]: thus (speak) [your] my-\nsagers.\n3-7According to [your] instructions, the prince and the chief [...] were sworn in, [and this is (what declared] the\nprince: ""[... ] for Addu [...]"" (gap)\nI'-5'We brought down [... ] to the office of the kdrum,\nthen we negotiated for the tin [...], but he [refused]\nto deliver it and [refused] to give [money]!115\ns'-14'Salim-Aššur was not [present...] On several occasions\nand the man did not [...] have [...] the copy of your tablet in an envelope. sealed... ] 20 fabrics\nordinary[res... ], [we offered °] 1 fabric for [... You\n(are)] our fathers and our masters, it depends on you.\nBIBLIOGRAPHY: 11. 1-6 of this fragmentary tablet are\ntranscribed and translated by M. T. LARSEN, OACC, p. 275 and\nn66 and JAOS. 94 [1974], p. 472-473, n. 20. K. R. VEENHOF,\nBiOr 27 [1970], p. 367 proposes restitutions to 11. 3-6, 4', 7'\net 11'.\nNOTES:\na. 74b: sz-ip-r[u sa Alimmal is not appropriate in this document. Indeed, the interlocutors of the kdrum are content here to execute orders received, they cannot therefore be messengers from the City, generally carrying orders for the kdrum.\nLiterally: “[We have brought (present)]”, see text 35.\n",KTK 8,34,debt note
b5099fe5-d533-4209-b899-5213ba0a2876,<gap> <gap>-ú-um <gap> <gap>-ni <gap> i-na tí-mì-il₅-ki-a-i-<gap> <gap> a-wa-tí-a <gap> <gap>-kam ki-a-am <gap> li-ib-ší <gap> KÙ.BABBAR <gap> ar-šu <big_gap> <gap> <big_gap>,"\n[ . we] offered[rt... ] we offered[... ]\nwe offered [to the] crown prince.\n4'-13'Here (is what) the counter-wabartum declared:\n""When the kdrum made his father swear an oath [...]\n115. L. 3'-S': a-na AN.NA ni-ta-[û-ma], û-su-ra-am lci i-\n[mu-a ù KU.BABBAR ], ta-da-nam lci [i-mu-a].",KTK 7,35,unknown
654b743e-1213-4146-8623-b65ea60a9058,a-na kà-ri-im kà-ni-ìš qí-bi-ma um-ma bé-lúm-ba-ni-ma i-na dí-in DUMU a-šur šu-um-šu <big_gap>-kam ù a-<big_gap> <gap> da-a <big_gap> i-na <big_gap> a-<gap> <big_gap> mu <gap> <big_gap> zi-kán ù ma-<big_gap> ga <big_gap> ba tí <big_gap>,"\nSay [to the k]drum of [K]aniš: thus (speak) Bélum-bâ[ni].\n4-7 For the judgment of [... ] [X']-Aššur [... ], [ic]i\net la-[bas'... ], the judges [... ] (rest of the tablet too fragmentary)",KTP 13,38,letter
487fc555-cfd6-414b-b5b9-5950a6b3f3de,am-tám zi-be-zi-be ú tí-pu-ku-ni-a-an DUMU.SAL-sú tár-ḫu-a-an la-ba-da-ni-kà a-ša-at pè-ru-wa pè-ru-wa-aḫ-šu šar-pá me-er-ú-šu a ší-mì-im i-dí-nu-ma a-na 0.5 ma-na 7.5 GÍN KÙ.BABBAR ša-áp-ta-ma-ni-kà iš-a-am-šu šu-ma a-ma-tí-ma a-šu-mì zi-be-zi-be ú DUMU.SAL-i-tí-šu ša a-na ša-áp-ta-ma-ni-kà i-tù-ru 5 ma-na KÙ.BABBAR i-da-an ú i-du-ku-šu i qá-tí wa-ar-ša-ma ru-ba-im ḫal-gi-a-šu GAL sí-mì-il₅-tim IGI ga-lá-ga IGI pè-ru-wa IGI i-na-ar IGI pè-ru-wa GAL na-gi₅-ri,"\n[Tell the ka]rum of Kaniš: [thus (speak) NP].\n3-14[... ] why, please, [...] [from]the [kd]rum [they (said)] this: ""[... ] according to our [messengers]agers[... ] and the kdrum [...]"" As for me, I sent [...] the\nprince Kanišite [... ] (gap)\n14-2211 (said) this: “You must not deliver them for the\n[... ] of Wahšušana! » (But) I am not going to deliver them\nfor secret (reasons), so I (spoke) thus: ""The\nElders give advice to the prince and the messengers,\nwhy then do they intervene?\nz —3oAs for the messages for the prince, the escort\nwho brings you this tablet carries them (also).\n[... ] the prince of Kaniš [... ] I (said) this: ""It is not are\nnot sons! »\n",KTP 4,39,purchase guarantee
70259a3a-24a0-4ad7-8174-515c05b007e9,a-na ší-ip-ri ša a-lim ú kà-ri-im kà-ni-iš qí-bi-ma um-ma kà-ru-um wa-aḫ-šu-ša-na-ma ru-ba-um ša wa-áš-ḫa-ni-a iš-pu-ra-am um-ma šu-ut-ma ku-sí-a-am ša a-bi₄-a aṣ-ba-at ma-mì-tám ta-me-a-ni um-ma né-nu-ma kà-ru-um kà-ni-iš be-lu-ni ni-ša-pár-ma šu-nu ú-ul a-ṣé-ri-kà i-ša-pu-ru-nim ú-ul a ṣé-ri-ni i-ša-pu-ru-nim ší-na ša ma-tim i-lu-ku-ni-ku-ma ù ma-mì-tám ú-ta-mu-ú-kà a-tù-nu ma-lá-ku-nu té-er-ták-nu li-li-kam 20 ma-na URUDU a-na ší-ip-ri-ni ni-dí-in,"\nSay [to] the messengers of the City] and to the kdru[m of\nKaniš]: thus (speaks) the kdru[m of W]ahšušana.\n5-9The [p]rince of Wašhan[i]ya [has] written this: “[I]\nacceded to the [throne] of my father. [Make] me take the oath! »\n9-19So we (answered) this: “The [ka rum\nde Kaniš (is) our [Lord].” We will write, [themselves], or [they] will respond to you in writing (directly),\n[or they will] send us a message (for you).\nTwo (men) from the country will go to your house, and they will be able to make you\ntake the oath. »\n20-25 It's up to you! May your orders reach me. We [gave] 20 copper mines to [our\nmy] sagers.\nBIBLIOGRAPHY: Tablet published by F. J. STEPHENS,\nJSOR 11 [1927], p. 104 and 119 = KTP 14. It is transcribed after\ncollation and translated by J. LEWY, Or 26 [1957], p. 25. For other editions, cf. B. LANDSBERGER, “Vier Urkunden von\nKültepe”, TTAED 4 [1940], p. 26, P. GARELLI, AC, p. 329-\n333, and the bibliography p. 330, n. 1, L. ORLIN, ACC, p. 114-118\net M. T. LARSEN, OACC, p. 249-250, and n. 4 (11. 9-25).\nNOTE:\na. Literally: “I have seized the throne of my father. »\n",KTP 14,40,administrative regulation
187f0f9e-df72-475c-8ead-9b52427b0647,5 GÍN KÙ.BABBAR šu-ma-bi₄-a i-na kà-ni-iš i-dí-in <gap> ma-na <big_gap> <gap> <big_gap>,"\nTell the messengers of the City [and] the kdrum of Kaniš:\n[thus (speak)] the kdrum of Wahšušana, (the assembly) of the\nsmall and (of) the great.\n""[About] the mules' about which you\nwrote to me [...] before [... ]\n""He (said) this: ""You must not buy [...] and\n[... ] fer[a/as] go out [...] ] his own goods [...] and your goods, they sold [in Kanliš!",KTK 3,41,letter
97abc183-7818-4756-8f78-3f4d6b21c8cf,<gap> 9 GÍN KÙ.BABBAR a-na a-ki-a ta-áš-qúl 15 GÍN KÙ.BABBAR a-na a-šùr-DU₁₀ ta-áš-qúl <gap> GÍN KÙ.BABBAR a-na a-ma-<gap> ta-áš-qúl 2 GÍN KÙ.BABBAR a-na a-šùr-DU₁₀-ma ta-áš-qúl 3 GÍN a sà-ba-zi-a e-li 3 GÍN ta-áš-qúl <gap> GÍN a-na <gap>-a-<gap>-<gap> tù-ub-lam,"\nSay[s] to the messenger[ers of] the City and (to) the ka[rum] of\nKaniš: thus (speak) the kdr[um of] Wahšu[šana].\n(the rest of the text has disappeared)120\n43 (Kt 83/k 284)\nSay to the kdrum of Kaniš: thus (speak) the kdrum of\nWahšušana.\n4-20Concerning the consignment tax' (due) by those who enter by the circuitous route and about which you wrote to us, Puzur-Aššur, son of Uku, paid 2 minae 10 shekels of silver, for himself or for an associate and friend, Iddin-Knbum, son of Aššur-tâbb paid 1 mine 5' shekels of silver, Kukkuldnum, son of Kutâya, paid 1 mine 15 shekels of silver. In total, Ah-šalim brings you\n5 silver mines under our seal.\n120. Only the beginning of the last line of the lower edge of the reverse remains: lâ-su: a-[... ], as well as the very beginning of the left side: ld e-ru-u[b... ].",KTK 4,42,note
94e21125-5f07-d7ca-a508-8fc8742888e0,um-ma ši-ip-ru ša kà-ri-im kà-ni-iš ú kà-ru-um wa-aḫ-šu-ša-na a-na ša-qí-il₅ ṭa-tim ú bi-ru-tim ša ša-lá-tù-ar qí-bi-ma 2 GÍN KÙ.BABBAR ù 2 ma-na URUDU SIG₅ ša-du-a-tám ša a-lá-bu-um DUMU LUGAL-{d}IŠKUR i-dí-a-ku-nu-tí-ni a-ma-kam KÙ.BABBAR ù URUDU a-na ša ki-ma a-lá-bi-im ta-e-ra,"\nThus (speak) the messengers of the kcrum of Kaniš and the\nkarum of Wahšušana: say to the payers of the tax- datum and\nelectsa of Saladuwar.\n7-16(Regarding) the 2 shekels of silver and the 2 mines\ndof copper of good quality which Alabum, son of Sarra-Adad,\na deposited for you as tax of deposit, there, reimburse the silver and copper to the representatives of Alâbum.","TC 1, 32",46,administrative regulation
adf66136-2d36-441a-ab13-c0359b6c14a8,a-na ší-tí ša <gap> i-dí-a-šùr <gap> ù šu-ma <gap> um-ma <gap> áš-me-ma <gap> lá šé-<gap> <gap> bi-ta-<gap> <gap> a-ḫu-a <gap> <big_gap>,"\n[Thus (speaks) the k]arum of [WahSu]Sana: [said [to the\npayers] of the tax-datum [and to the elected representatives of] Saladuwar.\n6_8[... ] Mannum-ki-ASSur [... there] if he brought\n[anything in addition... ] (gap)\nI'-3'There, that Mannum-[k%Aššur] enters (into) your\nparsatuma.\n",KTK 2,48,letter
9d09ae73-c041-4d7d-9d36-f5e44189e51d,um-ma kà-ru-um wa-aḫ-šu-ša-na-ma a-na ša-qí-il₅ da-tim ù bé-ru-tim qí-bi-ma LUGAL-sú-en₆ ša-du-a-sú a-na-kam <gap> <big_gap> kam <big_gap> <gap> <big_gap> <gap> <big_gap> a pá-ar-sà-tí-ku-nu le-ru-ub <big_gap>,"\nThus (speaks) the karum of Wahsusana: tell the payers\ndof the datum tax and the elected officials <of NG>a.\n5-7Sarra-Sin deposited his consignment tax here. [There]-\nbottom, [you must not re-impose the deposit tax] [... ] (gap)\ni'-2' That [NP] enters (into) your(...)b.\n",KTP 12,49,letter
